recordingSha256,kind,legacyGroup,group,detail,site,caller,truncated,count,value
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rhat:210","none","false","1","5519352"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","none","false","121","1261245912"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","none","true","160","1165940128"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:43","none","false","313","2558494760"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:44","none","false","349","2810280896"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","org.apache.commons.math3.random.RandomDataImpl","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:184","none","false","1","4065128"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","org.apache.commons.math3.random.Well19937c","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:184","none","false","1","4313104"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","scala.collection.IterableOnceOps$$Lambda$4799","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","none","false","11","150648128"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","scala.collection.IterableOnceOps$$Lambda$4799","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","none","true","4","11649392"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","scala.collection.Iterator$$anon$20","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:73","none","false","1","2094528"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","scala.collection.immutable.ArraySeq$ofRef","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:114","none","false","3","16810000"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","scala.collection.immutable.NewVectorIterator","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$1:39","none","false","4","23363544"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","scala.collection.immutable.NewVectorIterator","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:64","none","false","1","929088"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","scala.collection.mutable.ArraySeq$ofDouble","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$11:181","none","false","4","29949584"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","scala.collection.mutable.ArraySeq$ofDouble","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$2:40","none","false","2","15783904"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","scala.collection.mutable.ArraySeq$ofDouble","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","none","false","8","112473120"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[B","java.lang.StringLatin1.toLowerCase:453","none","false","25","1034584"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[B","java.util.Arrays.copyOf:3537","none","false","2","22873304"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[B","java.util.Arrays.copyOf:3537","none","true","1","616088"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","other","other","[B","java.util.zip.InflaterInputStream.<init>:88","none","false","2","1296888"
