target,seed,budget,method,coordinate,mean,error,mcse,ess,status,maxWeight,k,covered95,accurate,pilotCalls,pilotDraws,fallback,draws,evaluations,seconds
dirichlet-original,1009,20000,defensive,1,1.9101924980446332,-7.582571920017322E-4,0.0015570953461026165,5427.3982859410235,ChecksPassed,3.5025075764588524E-4,-0.6603991860239586,true,true,10000,341,false,10000,20000,0.0243103
dirichlet-original,1009,20000,defensive,2,2.6402155979795645,-1.2368074428836806E-4,0.002146992739190281,5427.3982859410235,ChecksPassed,3.5025075764588524E-4,-0.6603991860239586,true,true,10000,341,false,10000,20000,0.0243103
dirichlet-original,1009,20000,slice,0,0.8416171100702484,6.009593473473851E-4,0.005661290928759702,119.70226881285294,Danger,NA,NA,true,true,0,0,false,740,20000,0.0077769
dirichlet-original,1009,20000,slice,1,1.9122205399012888,0.0012697846646538835,0.013764801133321977,115.84438302762315,Danger,NA,NA,true,true,0,0,false,740,20000,0.0077769
dirichlet-original,1009,20000,slice,2,2.6412872434270587,9.479647032057947E-4,0.01568860703185679,176.8064305779078,Danger,NA,NA,true,true,0,0,false,740,20000,0.0077769
dirichlet-original,1009,200000,prior,0,0.8474514167652818,0.006435266042380761,0.014821354596715033,10.093264977398052,Danger,0.20322933070337384,15.607320910608264,true,false,0,0,false,200000,200000,0.3406367
dirichlet-original,1009,200000,prior,1,1.8733727890448169,-0.03757796619181808,0.03843853497732639,10.093264977398052,Danger,0.20322933070337384,15.607320910608264,true,false,0,0,false,200000,200000,0.3406367
dirichlet-original,1009,200000,prior,2,2.612444052578955,-0.027895226144897922,0.051739820920147124,10.093264977398052,Danger,0.20322933070337384,15.607320910608264,true,false,0,0,false,200000,200000,0.3406367
dirichlet-original,1009,200000,defensive,0,0.8410023430628187,-1.3807660082298945E-5,1.5458975742925374E-4,103008.75745963136,ChecksPassed,1.8577615055408617E-5,-0.6517369121832666,true,true,10000,341,false,190000,200000,0.3557513
dirichlet-original,1009,200000,defensive,1,1.9106357899665232,-3.1496527011176667E-4,3.592213946134064E-4,103008.75745963136,ChecksPassed,1.8577615055408617E-5,-0.6517369121832666,true,true,10000,341,false,190000,200000,0.3557513
dirichlet-original,1009,200000,defensive,2,2.64027709694802,-6.21817758328369E-5,4.968274792554259E-4,103008.75745963136,ChecksPassed,1.8577615055408617E-5,-0.6517369121832666,true,true,10000,341,false,190000,200000,0.3557513
dirichlet-original,1009,200000,slice,0,0.8399778193053401,-0.0010383314175609337,0.0010563548744404775,3321.2153597609963,Warning,NA,NA,true,true,0,0,false,8196,200000,0.078406
dirichlet-original,1009,200000,slice,1,1.912130525134327,0.0011797698976920845,0.002885903246685814,2499.8239956640914,Warning,NA,NA,true,true,0,0,false,8196,200000,0.078406
dirichlet-original,1009,200000,slice,2,2.6405288225830064,1.8954385915348482E-4,0.004154297839813555,2358.772790497975,Warning,NA,NA,true,true,0,0,false,8196,200000,0.078406
dirichlet-original,8928,2000,prior,0,0.6828151704115242,-0.15820098031137686,5.752196320423625E-7,1.000002591609949,Danger,0.9999987041971221,53.43559459827923,false,false,0,0,false,2000,2000,0.0028439
dirichlet-original,8928,2000,prior,1,1.2895915461445064,-0.6213592090921285,2.1851709994485486E-6,1.000002591609949,Danger,0.9999987041971221,53.43559459827923,false,false,0,0,false,2000,2000,0.0028439
dirichlet-original,8928,2000,prior,2,1.8865197156455755,-0.7538195630782774,2.3518550406119083E-6,1.000002591609949,Danger,0.9999987041971221,53.43559459827923,false,false,0,0,false,2000,2000,0.0028439
dirichlet-original,8928,2000,defensive,0,1.0611140486192292,0.22009789789632817,0.0291847204801477,1.8596561449500784,Danger,0.6374051145527768,70.09417594053616,false,false,1000,0,true,1000,2000,0.0018042
dirichlet-original,8928,2000,defensive,1,2.6273925198913632,0.7164417646547283,0.3475464955850878,1.8596561449500784,Danger,0.6374051145527768,70.09417594053616,false,false,1000,0,true,1000,2000,0.0018042
dirichlet-original,8928,2000,defensive,2,3.42130850698104,0.7809692282571872,0.181528953178981,1.8596561449500784,Danger,0.6374051145527768,70.09417594053616,false,false,1000,0,true,1000,2000,0.0018042
dirichlet-original,8928,2000,slice,0,NA,NA,NA,NA,InsufficientEvidence,NA,NA,false,false,0,0,false,4,2000,7.388E-4
dirichlet-original,8928,2000,slice,1,NA,NA,NA,NA,InsufficientEvidence,NA,NA,false,false,0,0,false,4,2000,7.388E-4
dirichlet-original,8928,2000,slice,2,NA,NA,NA,NA,InsufficientEvidence,NA,NA,false,false,0,0,false,4,2000,7.388E-4
dirichlet-original,8928,20000,prior,0,0.8662840018716114,0.02526785114871033,0.006293345508013689,1.1101892862986662,Danger,0.9482583989007909,27.90890885838513,false,false,0,0,false,20000,20000,0.0214475
dirichlet-original,8928,20000,prior,1,1.9519914336358783,0.04104067839924341,0.0362243489989431,1.1101892862986662,Danger,0.9482583989007909,27.90890885838513,true,false,0,0,false,20000,20000,0.0214475
dirichlet-original,8928,20000,prior,2,2.217525225810287,-0.4228140529135658,0.007120288068844407,1.1101892862986662,Danger,0.9482583989007909,27.90890885838513,false,false,0,0,false,20000,20000,0.0214475
dirichlet-original,8928,20000,defensive,0,0.8418004804040037,7.843296811026468E-4,6.680164857604304E-4,5900.507569877185,ChecksPassed,3.177991550783346E-4,-0.5863510007382271,true,true,10000,339,false,10000,20000,0.019039
dirichlet-original,8928,20000,defensive,1,1.9113870535660005,4.362983293655365E-4,0.0015429508866641236,5900.507569877185,ChecksPassed,3.177991550783346E-4,-0.5863510007382271,true,true,10000,339,false,10000,20000,0.019039
dirichlet-original,8928,20000,defensive,2,2.6445128652930947,0.004173586569241827,0.002210990693581429,5900.507569877185,ChecksPassed,3.177991550783346E-4,-0.5863510007382271,true,true,10000,339,false,10000,20000,0.019039
dirichlet-original,8928,20000,slice,0,0.8442276964185386,0.00321154569563753,0.0034734365608202135,288.56517251408167,Danger,NA,NA,true,true,0,0,false,740,20000,0.0077731
dirichlet-original,8928,20000,slice,1,1.9295890641500018,0.01863830891336682,0.010274073741622852,189.7943000051489,Danger,NA,NA,true,false,0,0,false,740,20000,0.0077731
dirichlet-original,8928,20000,slice,2,2.6560529406046505,0.01571366188079759,0.013265924496520453,207.38606941129277,Danger,NA,NA,true,true,0,0,false,740,20000,0.0077731
dirichlet-original,8928,200000,prior,0,0.8200806358484606,-0.020935514874440453,0.011295815789290767,6.506933437106254,Danger,0.2754871662351252,15.417462723281691,true,false,0,0,false,200000,200000,0.3261801
dirichlet-original,8928,200000,prior,1,1.8391782227150664,-0.07177253252156857,0.018395151703481532,6.506933437106254,Danger,0.2754871662351252,15.417462723281691,false,false,0,0,false,200000,200000,0.3261801
dirichlet-original,8928,200000,prior,2,2.5266647661366277,-0.11367451258722516,0.06059056923539579,6.506933437106254,Danger,0.2754871662351252,15.417462723281691,true,false,0,0,false,200000,200000,0.3261801
dirichlet-original,8928,200000,defensive,0,0.8409686956339488,-4.745508895220851E-5,1.5116312343951862E-4,111710.7401616574,ChecksPassed,1.6627225719778428E-5,-0.5986161406273831,true,true,10000,339,false,190000,200000,0.3437095
dirichlet-original,8928,200000,defensive,1,1.9111603040755187,2.095488388837996E-4,3.5188247904055985E-4,111710.7401616574,ChecksPassed,1.6627225719778428E-5,-0.5986161406273831,true,true,10000,339,false,190000,200000,0.3437095
dirichlet-original,8928,200000,defensive,2,2.64069712297605,3.578442521972036E-4,5.044187162600856E-4,111710.7401616574,ChecksPassed,1.6627225719778428E-5,-0.5986161406273831,true,true,10000,339,false,190000,200000,0.3437095
dirichlet-original,8928,200000,slice,0,0.8412846150832993,2.684643603982906E-4,0.0010574091273297065,3226.5664520162195,ChecksPassed,NA,NA,true,true,0,0,false,8136,200000,0.0801318
dirichlet-original,8928,200000,slice,1,1.913051099437528,0.0021003442008931117,0.002877776147059275,2481.9981733064537,ChecksPassed,NA,NA,true,true,0,0,false,8136,200000,0.0801318
dirichlet-original,8928,200000,slice,2,2.644303008761435,0.003963730037582103,0.004072330405734011,2435.0451927020654,ChecksPassed,NA,NA,true,true,0,0,false,8136,200000,0.0801318
dirichlet-original,16847,2000,prior,0,0.7074789942106795,-0.13353715651222153,2.2627320251809865E-4,1.0177392831954313,Danger,0.991207677680297,50.48451195289422,false,false,0,0,false,2000,2000,0.0028135
dirichlet-original,16847,2000,prior,1,2.109403081912538,0.19845232667590307,0.005048643081576519,1.0177392831954313,Danger,0.991207677680297,50.48451195289422,false,false,0,0,false,2000,2000,0.0028135
dirichlet-original,16847,2000,prior,2,3.1708942080700586,0.5305549293462057,0.017991775316259444,1.0177392831954313,Danger,0.991207677680297,50.48451195289422,false,false,0,0,false,2000,2000,0.0028135
dirichlet-original,16847,2000,defensive,0,0.6722431208111687,-0.16877302991173238,0.012314613447848394,1.0307738260185804,Danger,0.9848580199012719,56.27029558048734,false,false,1000,0,true,1000,2000,0.0026987
dirichlet-original,16847,2000,defensive,1,2.3090531079764562,0.3981023527398213,0.008210669791584892,1.0307738260185804,Danger,0.9848580199012719,56.27029558048734,false,false,1000,0,true,1000,2000,0.0026987
dirichlet-original,16847,2000,defensive,2,3.4487831589207283,0.8084438801968754,0.01723703099136806,1.0307738260185804,Danger,0.9848580199012719,56.27029558048734,false,false,1000,0,true,1000,2000,0.0026987
