family,seed,draws,status,ess,maxWeight,k,mean,error,rawMcse,issues
gamma,183146,2000,Danger,2.7820035480295515,0.5671640960544421,15.280634681676467,2.2349183472335112,0.12704837406387526,0.05537616115004424,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
gamma,191065,2000,Danger,6.634168793245085,0.3201583142041791,15.071219446574949,2.155957495396058,0.048087522226421875,0.06444275224106838,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,198984,2000,Danger,4.496507575525252,0.38283252510419474,15.878549553806987,2.1613732304545303,0.05350325728489436,0.1133318616679199,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,206903,2000,Danger,4.560505813915803,0.30561673193415745,16.491761773899743,2.1134869974562074,0.005617024286571404,0.07094106092914824,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,214822,2000,Danger,3.9200595951014106,0.4318938553233501,14.710652348305613,2.05397520421923,-0.053894768950406124,0.043131903688230666,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,222741,2000,Danger,3.294730553355722,0.356734413537469,11.65567402530247,2.1814885412238896,0.0736185680542536,0.02680695206666782,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,230660,2000,Danger,5.23906088133153,0.2960181915209851,14.193890682787131,2.118352823784546,0.010482850614910166,0.09002464548341935,DominantWeight|LowEss|LowEfficiency|ParetoDanger
dirichlet,1009,2000,Danger,1.5084650429763702,0.7995647295907933,54.87016600366716,0.8815923618155406,0.040576211092639536,0.007022274223402865,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,8928,2000,Danger,1.0093991601937413,0.9953223008336011,49.84405197168994,0.8663026581045341,0.025286507381633072,4.056957540006423E-4,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,16847,2000,Danger,1.812621997707089,0.6624308435188959,45.689623605241515,0.9512229303361636,0.11020677961326253,0.03100608026068158,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,24766,2000,Danger,1.0002216401126167,0.9998891926277949,50.38440914786385,1.0038063612530408,0.16279021053013976,1.989817798024352E-5,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,32685,2000,Danger,1.0494560306839535,0.975857805951471,46.55876757824969,0.973003207311007,0.13198705658810594,5.176552237188899E-4,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,40604,2000,Danger,1.0345414527546726,0.9830183697128497,50.2472356418516,1.0010514920842448,0.16003534136134379,0.008826343458017036,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,48523,2000,Danger,1.0007808620719845,0.9996097212816857,49.532524649790766,1.0279065287554494,0.18689037803254838,2.7215752751498154E-4,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,56442,2000,Danger,2.004420242132496,0.5467787127465963,47.48507719829989,0.7227205144621229,-0.1182956362607781,0.051115251912600364,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
dirichlet,64361,2000,Danger,1.0000005150523577,0.9999997424738977,54.91476899251266,0.9507291349943751,0.10971298427147402,8.23937089358798E-8,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
