case,seed,query,reference,tolerance,mean,error,mcse,covered95,accurate,health,fit,pilotCalls,productionCalls,ess,seconds
gamma-original,222741,mean1,1.844729346924452,0.019704680523149942,1.8470916649385738,0.0023623180141219002,0.0021674815743747055,true,true,ChecksPassed,Fitted,10000,10000,5971.178327975117,0.0158465
gamma-original,230660,mean0,2.107869973169636,0.019674017055309332,2.110473751800224,0.0026037786305881383,0.002091841946769244,true,true,ChecksPassed,Fitted,10000,10000,5831.986012803725,0.0142974
gamma-original,230660,mean1,1.844729346924452,0.019704680523149942,1.8414299024159921,-0.003299444508459759,0.002089721735453867,true,true,ChecksPassed,Fitted,10000,10000,5831.986012803725,0.0142974
dirichlet-original,1009,mean0,0.841016150722901,0.00608399843880491,0.8413699723592938,3.538216363927482E-4,6.48431994256621E-4,true,true,ChecksPassed,Fitted,10000,10000,6012.21464701553,0.0317238
dirichlet-original,1009,mean1,1.910950755236635,0.01434315061608727,1.910264082750518,-6.866724861169793E-4,0.0015327585899933699,true,true,ChecksPassed,Fitted,10000,10000,6012.21464701553,0.0317238
dirichlet-original,1009,mean2,2.640339278723853,0.02005600807508122,2.6400303587525666,-3.089199712862367E-4,0.0021760552660777706,true,true,ChecksPassed,Fitted,10000,10000,6012.21464701553,0.0317238
dirichlet-original,8928,mean0,0.841016150722901,0.00608399843880491,0.8413204497835918,3.042990606907381E-4,6.666790467089489E-4,true,true,ChecksPassed,Fitted,10000,10000,5717.741166204155,0.0301664
dirichlet-original,8928,mean1,1.910950755236635,0.01434315061608727,1.9105716493634233,-3.7910587321166034E-4,0.0016082441904089742,true,true,ChecksPassed,Fitted,10000,10000,5717.741166204155,0.0301664
dirichlet-original,8928,mean2,2.640339278723853,0.02005600807508122,2.643207276300608,0.0028679975767551547,0.0022265831579788686,true,true,ChecksPassed,Fitted,10000,10000,5717.741166204155,0.0301664
dirichlet-original,16847,mean0,0.841016150722901,0.00608399843880491,0.8401540366147016,-8.621141081994743E-4,6.702532877641845E-4,true,true,ChecksPassed,Fitted,10000,10000,5893.741819525311,0.0274106
dirichlet-original,16847,mean1,1.910950755236635,0.01434315061608727,1.9088758332620315,-0.002074921974603461,0.0016070829496572679,true,true,ChecksPassed,Fitted,10000,10000,5893.741819525311,0.0274106
dirichlet-original,16847,mean2,2.640339278723853,0.02005600807508122,2.641246081118613,9.068023947600423E-4,0.0022172780964872887,true,true,ChecksPassed,Fitted,10000,10000,5893.741819525311,0.0274106
dirichlet-original,24766,mean0,0.841016150722901,0.00608399843880491,0.8405255258194533,-4.906249034477561E-4,6.492938793311652E-4,true,true,ChecksPassed,Fitted,10000,10000,5858.013934958415,0.0254228
dirichlet-original,24766,mean1,1.910950755236635,0.01434315061608727,1.9077093840898927,-0.003241371146742278,0.0015711076296096413,false,true,ChecksPassed,Fitted,10000,10000,5858.013934958415,0.0254228
dirichlet-original,24766,mean2,2.640339278723853,0.02005600807508122,2.637818838546638,-0.0025204401772147556,0.0021594613456135097,true,true,ChecksPassed,Fitted,10000,10000,5858.013934958415,0.0254228
dirichlet-original,32685,mean0,0.841016150722901,0.00608399843880491,0.8405203111736206,-4.958395492804524E-4,6.586102985004169E-4,true,true,ChecksPassed,Fitted,10000,10000,5655.448167360402,0.0247361
dirichlet-original,32685,mean1,1.910950755236635,0.01434315061608727,1.9094840238820958,-0.0014667313545391192,0.0015570965154978807,true,true,ChecksPassed,Fitted,10000,10000,5655.448167360402,0.0247361
dirichlet-original,32685,mean2,2.640339278723853,0.02005600807508122,2.6394007751459965,-9.385035778564088E-4,0.0021592967529843843,true,true,ChecksPassed,Fitted,10000,10000,5655.448167360402,0.0247361
dirichlet-original,40604,mean0,0.841016150722901,0.00608399843880491,0.8426234297287567,0.0016072790058556663,6.463245855729021E-4,false,true,ChecksPassed,Fitted,10000,10000,6115.3572476518475,0.0256269
