jvm,case,method,draws,seed,status,mean,ess,rhat,attempts,pilotTransitions,visits,pilotSeconds,fitSeconds,totalSeconds,reference
2,concentrated,mh,45744,304259688,Completed,2.966917655802167,NaN,1.0937590746423522,45744,1000,0,0.0,0.0,0.08585670000000001,2.9702970297029703
2,concentrated,legacy,58112,304259688,Completed,2.9617634396698267,NaN,NaN,58112,0,0,0.0,0.0,0.0774947,2.9702970297029703
2,concentrated,prior,44100,304259688,Completed,2.9621731915690104,73.18930007036259,NaN,44100,0,264600,0.0,0.0,0.0697971,2.9702970297029703
2,concentrated,single,73080,304259688,Fitted,2.970040849815301,28278.079888782635,1.932277825402883,73080,3000,438480,0.004670700000000001,1.3440000000000001E-4,0.1407601,2.9702970297029703
2,concentrated,mixture,63196,304259688,Fitted,2.9697546406963182,35459.58672383064,2.6459592794596114,63196,3000,315980,0.0047384,0.006655500000000001,0.14918510000000001,2.9702970297029703
2,concentrated,mh,92732,304259688,Completed,2.9669250704589416,NaN,1.042668509504779,92732,1000,0,0.0,0.0,0.17941100000000001,2.9702970297029703
2,concentrated,legacy,116584,304259688,Completed,2.9663783184414227,NaN,NaN,116584,0,0,0.0,0.0,0.16279000000000002,2.9702970297029703
2,concentrated,prior,88416,304259688,Completed,2.9656626206111834,146.4457533130201,NaN,88416,0,530496,0.0,0.0,0.1401717,2.9702970297029703
2,hierarchical,single,29384,304259688,Fitted,0.9813488463071401,15263.597606314177,1.103858016558894,29384,3000,235072,0.0052541,1.404E-4,0.07221430000000001,0.9803921568627451
2,hierarchical,mixture,11160,304259688,IterationLimit,NaN,NaN,1.1373082751369024,0,3000,0,0.0051208,0.0669878,0.07217330000000001,0.9803921568627451
2,hierarchical,mh,46584,304259688,Completed,0.9808180611719209,NaN,1.0079459429240774,46584,1000,0,0.0,0.0,0.09883560000000001,0.9803921568627451
2,hierarchical,legacy,43792,304259688,Completed,0.9810972716617009,NaN,NaN,43792,0,0,0.0,0.0,0.07526880000000001,0.9803921568627451
