"vectorProfile","kind","group","detail","site","count","value"
"vectorProfile","allocation","other","javax.management.openmbean.CompositeDataSupport","sun.management.MemoryUsageCompositeData.getCompositeData:67","1","26624"
"vectorProfile","allocation","other","sbt.internal.TaskProgress$$Lambda$3694","java.lang.invoke.DirectMethodHandle.allocateInstance:520","10","26840"
"vectorProfile","allocation","other","sbt.internal.classpath.ClassLoaderCache$$Lambda$712","java.lang.invoke.DirectMethodHandle.allocateInstance:520","2","43424"
"vectorProfile","allocation","other","scala.Some","scala.Some$.apply:619","4","133968"
"vectorProfile","allocation","other","scala.Tuple2","scala.Tuple2$.apply:24","1","40632"
"vectorProfile","allocation","other","scala.collection.StrictOptimizedLinearSeqOps$$anon$1","scala.collection.StrictOptimizedLinearSeqOps.iterator:267","1","4544"
"vectorProfile","allocation","other","scala.collection.immutable.BitmapIndexedMapNode","scala.collection.immutable.BitmapIndexedMapNode.copyAndInsertValue:1005","4","98520"
"vectorProfile","allocation","other","scala.collection.immutable.BitmapIndexedSetNode","scala.collection.immutable.BitmapIndexedSetNode.mergeTwoKeyValPairs:755","2","77240"
"vectorProfile","allocation","other","scala.collection.immutable.HashSetBuilder","scala.collection.immutable.SetBuilderImpl.addOne:392","1","16616"
"vectorProfile","allocation","other","scala.collection.immutable.SetHashIterator","scala.collection.immutable.HashSet.hashCode:215","1","5240"
"vectorProfile","allocation","other","scala.collection.immutable.VectorBuilder","sbt.internal.AbstractTaskExecuteProgress.timings:52","9","963496"
"vectorProfile","allocation","other","scala.collection.mutable.HashMap","scala.collection.mutable.HashMap$$anon$6.<init>:615","3","47424"
"vectorProfile","allocation","other","scala.concurrent.duration.FiniteDuration","scala.concurrent.duration.Duration$.apply:35","6","426328"
"vectorProfile","allocation","other","scala.concurrent.duration.FiniteDuration","scala.concurrent.duration.FiniteDuration.add:569","1","146448"
"vectorProfile","allocation","other","scala.concurrent.duration.package$DurationInt","sbt.internal.GCMonitor.window:54","5","87120"
"vectorProfile","allocation","other","scala.runtime.BooleanRef","scala.runtime.BooleanRef.create:22","4","189035376"
"vectorProfile","allocation","other","scala.runtime.RichLong","scala.concurrent.duration.FiniteDuration.compare:556","5","161680"
"vectorProfile","allocation","sampling","[B","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:156","1","624000"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.accepted$1:172","109","2491508648"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.angular$1:179","111","2410589312"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.dot$1:147","63","1066826496"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.evaluate$1:86","800","18618288448"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:146","13","104860520"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:152","7","215292408"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:154","21","476024328"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:156","23","251553032"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:158","8","73317560"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:198","9","56265784"
"vectorProfile","allocation","sampling","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.quantile$$anonfun$1:130","733","14675895704"
"vectorProfile","allocation","sampling","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4843","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.run:98","10","86702880"
"vectorProfile","allocation","sampling","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4848","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:146","1","624368"
"vectorProfile","allocation","sampling","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4850","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:152","1","517856"
"vectorProfile","allocation","sampling","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4856","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:156","1","1472"
"vectorProfile","allocation","sampling","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4857","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:158","1","12576048"
"vectorProfile","allocation","sampling","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4875","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:198","3","12353536"
"vectorProfile","allocation","sampling","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4992","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.run:99","7","32559568"
"vectorProfile","allocation","sampling","com.cra.figaro.example.VectorSamplingPerformance$$$Lambda$5018","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.evaluate$1:86","50","212575368"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4843.apply:-1","12","44170120"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4852.apply:-1","86","833747520"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4853.apply:-1","46","494156232"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4856.apply:-1","47","872750496"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4863.apply:-1","215","4338911000"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$$$Lambda$4992.apply:-1","1","6600560"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.accepted$1:172","502","9578511080"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.dot$1:147","99","1237398744"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.evaluate$1:86","10678","248640730336"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.norm:56","99","1261813960"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:146","54","742686608"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:152","46","698751040"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:158","52","815944424"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:198","45","525454552"
"vectorProfile","allocation","sampling","java.lang.Double","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.quantile$$anonfun$1:130","174","3675412144"
"vectorProfile","allocation","sampling","scala.Tuple2","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.angular$1:179","206","4526491760"
"vectorProfile","allocation","sampling","scala.Tuple2","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.dot$1:147","97","1591596104"
"vectorProfile","allocation","sampling","scala.Tuple2","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:154","66","1144135816"
"vectorProfile","allocation","sampling","scala.Tuple2","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.polar:156","46","674842488"
"vectorProfile","allocation","sampling","scala.collection.IterableOnceOps$$Lambda$4799","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.dot$1:147","3","8730072"
"vectorProfile","allocation","sampling","scala.collection.IterableOnceOps$$Lambda$4799","com.cra.figaro.algorithm.sampling.VectorSliceSampler$.evaluate$1:86","161","4742227912"
