"jvm","diagnosticHotspot","shape","values","round","stage","iterations","seconds","allocatedBytes","fingerprint"
"0","row","ties","1024","-4","mergeRank","62","0.002462","3514200","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-4","radixRank","62","0.0022576","3578680","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-4","summary","62","0.0209613","43525048","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","-4","mergeSort","62","9.267E-4","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","-4","radixSort","62","9.193E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","-3","scoresAndScatter","62","9.613E-4","2489960","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-3","radixSort","62","9.27899E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","-3","mergeSort","62","0.001052099","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","-3","summary","62","0.0156509","43519800","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","-3","radixRank","62","0.0019162","3578680","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-3","mergeRank","62","0.002210101","3510232","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-2","radixRank","62","0.001881","3578680","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-2","summary","62","0.0146953","43516600","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","-2","mergeSort","62","9.521E-4","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","-2","radixSort","62","9.104E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","-2","scoresAndScatter","62","5.32299E-4","2485992","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-2","mergeRank","62","0.0020469","3510232","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-1","radixRank","62","0.0017822","3574712","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-1","mergeRank","62","0.0020298","3510232","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-1","scoresAndScatter","62","4.504E-4","2485992","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-1","radixSort","62","9.147E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","-1","mergeSort","62","0.001054","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","-1","summary","62","0.013557301","43516600","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","0","mergeSort","62","9.095E-4","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","0","radixSort","62","8.951E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","0","scoresAndScatter","62","4.66301E-4","2485992","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","0","mergeRank","62","0.002067199","3510232","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","0","radixRank","62","0.001386701","3574712","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","0","summary","62","0.0135661","43516600","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","1","mergeSort","62","0.0010673","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","1","summary","62","0.013520399","43516600","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","1","radixRank","62","0.001566001","3574712","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","1","mergeRank","62","0.002107701","3510232","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","1","scoresAndScatter","62","4.65401E-4","2485992","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","1","radixSort","62","9.54301E-4","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","2","scoresAndScatter","62","5.08399E-4","2485992","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
