case,seed,method,status,truth,estimate,pilotCalls,productionCalls,componentCalls,seconds
one_tail,95028,single,Fitted,0.0013498980316300946,0.0013463340826721868,3000,9000,0,0.0053874
one_tail,95028,weighted,Fitted,0.0013498980316300946,0.0013287578683484763,3000,9000,13026,0.0099532
one_tail,95028,supplied,Completed,0.0013498980316300946,0.0013768105951602674,0,12000,0,0.0053902
one_tail,95029,single,Fitted,0.0013498980316300946,0.0013535309446030524,3000,9000,0,0.0056108
one_tail,95029,weighted,Fitted,0.0013498980316300946,0.0013759793967402633,3000,9000,9072,0.0093175
one_tail,95029,supplied,Completed,0.0013498980316300946,0.001302226879961882,0,12000,0,0.0058917
one_tail,95029,prior,Completed,0.0013498980316300946,0.0020000000000000005,0,12000,0,0.0036185
two_tail,95000,prior,Completed,6.334248366623984E-5,8.333333333333338E-5,0,12000,0,0.0037537
two_tail,95000,single,Fitted,6.334248366623984E-5,6.473643740295218E-5,2000,10000,0,0.0054547
two_tail,95000,weighted,Fitted,6.334248366623984E-5,6.341943819294494E-5,3000,9000,4212,0.0091455
two_tail,95000,supplied,Completed,6.334248366623984E-5,6.401494949752439E-5,0,12000,0,0.0074981
two_tail,95001,single,Fitted,6.334248366623984E-5,6.178621020851689E-5,3000,9000,0,0.005635
two_tail,95001,weighted,Fitted,6.334248366623984E-5,6.321644807958732E-5,3000,9000,3660,0.0084398
two_tail,95001,supplied,Completed,6.334248366623984E-5,6.496185924353818E-5,0,12000,0,0.0081567
two_tail,95001,prior,Completed,6.334248366623984E-5,2.5E-4,0,12000,0,0.0043441
two_tail,95002,weighted,Fitted,6.334248366623984E-5,6.250942007275937E-5,3000,9000,4752,0.0082143
two_tail,95002,supplied,Completed,6.334248366623984E-5,6.496057535959406E-5,0,12000,0,0.007485
two_tail,95002,prior,Completed,6.334248366623984E-5,1.666666666666668E-4,0,12000,0,0.0034129
two_tail,95002,single,Fitted,6.334248366623984E-5,6.170888324684394E-5,2000,10000,0,0.0053966
two_tail,95003,supplied,Completed,6.334248366623984E-5,6.515993822769542E-5,0,12000,0,0.0075824
two_tail,95003,prior,Completed,6.334248366623984E-5,0.0,0,12000,0,0.0034018
two_tail,95003,single,Fitted,6.334248366623984E-5,6.26333495802686E-5,3000,9000,0,0.0055594
two_tail,95003,weighted,Fitted,6.334248366623984E-5,6.265345466046615E-5,3000,9000,3248,0.0087086
two_tail,95004,prior,Completed,6.334248366623984E-5,1.666666666666668E-4,0,12000,0,0.0038629
two_tail,95004,single,Fitted,6.334248366623984E-5,6.611142634606767E-5,2000,10000,0,0.0054767
two_tail,95004,weighted,Fitted,6.334248366623984E-5,6.203477365345609E-5,3000,9000,3628,0.0084914
two_tail,95004,supplied,Completed,6.334248366623984E-5,6.235553126743901E-5,0,12000,0,0.0072748
two_tail,95005,single,Fitted,6.334248366623984E-5,6.493359537095011E-5,2000,10000,0,0.006466
two_tail,95005,weighted,Fitted,6.334248366623984E-5,6.240431641829008E-5,3000,9000,4308,0.0085436
two_tail,95005,supplied,Completed,6.334248366623984E-5,6.2333790065438E-5,0,12000,0,0.008142
two_tail,95005,prior,Completed,6.334248366623984E-5,8.333333333333338E-5,0,12000,0,0.0032986
two_tail,95006,weighted,Fitted,6.334248366623984E-5,6.487515471554385E-5,4000,8000,9936,0.0089711
two_tail,95006,supplied,Completed,6.334248366623984E-5,6.314751998096102E-5,0,12000,0,0.0074293
two_tail,95006,prior,Completed,6.334248366623984E-5,0.0,0,12000,0,0.0033979
two_tail,95006,single,Fitted,6.334248366623984E-5,6.99481729225218E-5,2000,10000,0,0.0052955
two_tail,95007,supplied,Completed,6.334248366623984E-5,6.31308522008675E-5,0,12000,0,0.0072702
two_tail,95007,prior,Completed,6.334248366623984E-5,0.0,0,12000,0,0.0036248
two_tail,95007,single,Fitted,6.334248366623984E-5,6.371158580124692E-5,2000,10000,0,0.0052649
two_tail,95007,weighted,Fitted,6.334248366623984E-5,6.375499830847491E-5,3000,9000,4044,0.0081807
two_tail,95008,prior,Completed,6.334248366623984E-5,1.666666666666668E-4,0,12000,0,0.0033188
two_tail,95008,single,Fitted,6.334248366623984E-5,6.278329397917531E-5,3000,9000,0,0.0061874
two_tail,95008,weighted,Fitted,6.334248366623984E-5,6.226285244507692E-5,4000,8000,10108,0.0098206
two_tail,95008,supplied,Completed,6.334248366623984E-5,6.263786631769895E-5,0,12000,0,0.0069346
two_tail,95009,single,Fitted,6.334248366623984E-5,6.235549073478352E-5,2000,10000,0,0.005843
two_tail,95009,weighted,Fitted,6.334248366623984E-5,6.285026640077297E-5,3000,9000,4012,0.0085041
two_tail,95009,supplied,Completed,6.334248366623984E-5,6.445207706429281E-5,0,12000,0,0.0074633
two_tail,95009,prior,Completed,6.334248366623984E-5,0.0,0,12000,0,0.0033543
two_tail,95010,weighted,Fitted,6.334248366623984E-5,6.530144537878312E-5,3000,9000,3840,0.0078978
two_tail,95010,supplied,Completed,6.334248366623984E-5,6.474172099301693E-5,0,12000,0,0.0075147
two_tail,95010,prior,Completed,6.334248366623984E-5,1.666666666666668E-4,0,12000,0,0.0038404
two_tail,95010,single,Fitted,6.334248366623984E-5,7.029268554676345E-5,2000,10000,0,0.0059707
two_tail,95011,supplied,Completed,6.334248366623984E-5,6.383354398205211E-5,0,12000,0,0.0073646
two_tail,95011,prior,Completed,6.334248366623984E-5,0.0,0,12000,0,0.0032769
two_tail,95011,single,Fitted,6.334248366623984E-5,6.694369542096493E-5,2000,10000,0,0.0054069
two_tail,95011,weighted,Fitted,6.334248366623984E-5,6.321841405426233E-5,3000,9000,4408,0.0085586
two_tail,95012,prior,Completed,6.334248366623984E-5,8.333333333333338E-5,0,12000,0,0.003724
two_tail,95012,single,Fitted,6.334248366623984E-5,6.0986122040129855E-5,2000,10000,0,0.005757
two_tail,95012,weighted,Fitted,6.334248366623984E-5,6.246772162651861E-5,3000,9000,3820,0.008113
two_tail,95012,supplied,Completed,6.334248366623984E-5,6.09302337855317E-5,0,12000,0,0.0072036
two_tail,95013,single,Fitted,6.334248366623984E-5,5.872025121154278E-5,2000,10000,0,0.0056698
