target,seed,budget,method,coordinate,mean,error,mcse,ess,status,maxWeight,k,covered95,accurate,pilotCalls,pilotDraws,fallback,draws,evaluations,seconds
gamma-heldout,1000926530,20000,defensive,1,1.8540502607115081,-5.0008208224539E-4,0.002128062450293706,6344.965685929251,ChecksPassed,2.420935425119129E-4,-0.8984504831254749,true,true,10000,549,false,10000,20000,0.0111471
gamma-heldout,1000934449,20000,defensive,0,2.1343885228556494,-5.882506698684509E-5,0.0021692431754001228,5270.51740016652,ChecksPassed,3.2037044912132525E-4,-0.9011000889132036,true,true,10000,526,false,10000,20000,0.0110359
gamma-heldout,1000934449,20000,defensive,1,1.8556356633252935,0.0010853205315399794,0.0021562301497242433,5270.51740016652,ChecksPassed,3.2037044912132525E-4,-0.9011000889132036,true,true,10000,526,false,10000,20000,0.0110359
gamma-heldout,1000942368,20000,defensive,0,2.1367237460321618,0.0022763981095255126,0.0021141178181180308,6674.052714686675,ChecksPassed,2.725291395418506E-4,0.008411686587076838,true,true,10000,535,false,10000,20000,0.0106366
gamma-heldout,1000942368,20000,defensive,1,1.8520559568507025,-0.0024943859430510695,0.002059933574482227,6674.052714686675,ChecksPassed,2.725291395418506E-4,0.008411686587076838,true,true,10000,535,false,10000,20000,0.0106366
gamma-heldout,1000950287,20000,defensive,0,2.1372757080480858,0.002828360125449514,0.002124229993342851,6638.465164485824,ChecksPassed,3.172017509776928E-4,0.06259472720689048,true,true,10000,546,false,10000,20000,0.0115107
gamma-heldout,1000950287,20000,defensive,1,1.8505118794302615,-0.004038463363492006,0.002143329874856256,6638.465164485824,ChecksPassed,3.172017509776928E-4,0.06259472720689048,true,true,10000,546,false,10000,20000,0.0115107
gamma-heldout,1000958206,20000,defensive,0,2.133433788383849,-0.0010135595387872343,0.002089323458328935,6390.132716449767,ChecksPassed,2.4246088500293355E-4,-0.9097912734813939,true,true,10000,540,false,10000,20000,0.0113888
gamma-heldout,1000958206,20000,defensive,1,1.8561301746107537,0.0015798318170001657,0.0020560765138414494,6390.132716449767,ChecksPassed,2.4246088500293355E-4,-0.9097912734813939,true,true,10000,540,false,10000,20000,0.0113888
gamma-heldout,1000966125,20000,defensive,0,2.1333933485755896,-0.0010539993470466413,0.002108584456140872,6521.087979592669,ChecksPassed,2.3228641924960558E-4,-0.9198896362524241,true,true,10000,536,false,10000,20000,0.0110634
gamma-heldout,1000966125,20000,defensive,1,1.8550426024342328,4.922596404792756E-4,0.0020616544274443564,6521.087979592669,ChecksPassed,2.3228641924960558E-4,-0.9198896362524241,true,true,10000,536,false,10000,20000,0.0110634
gamma-heldout,1000974044,20000,defensive,0,2.135764688211,0.001317340288363944,0.0021102785681015924,5810.198670322361,ChecksPassed,2.830818431967682E-4,-1.012349735414743,true,true,10000,546,false,10000,20000,0.0110592
gamma-heldout,1000974044,20000,defensive,1,1.8530006250061775,-0.001549717787576066,0.002080017172897482,5810.198670322361,ChecksPassed,2.830818431967682E-4,-1.012349735414743,true,true,10000,546,false,10000,20000,0.0110592
gamma-heldout,1000981963,20000,defensive,0,2.1348915132764055,4.441653537692325E-4,0.002157757190746254,6617.343621088057,ChecksPassed,6.347171553831889E-4,0.37377615836445566,true,true,10000,542,false,10000,20000,0.0105189
gamma-heldout,1000981963,20000,defensive,1,1.8552309346640892,6.805918703356451E-4,0.0023240223077891564,6617.343621088057,ChecksPassed,6.347171553831889E-4,0.37377615836445566,true,true,10000,542,false,10000,20000,0.0105189
gamma-heldout,1000989882,20000,defensive,0,2.13478743176372,3.4008384108386025E-4,0.002076675940940433,6207.44856368985,ChecksPassed,2.5474653540202364E-4,-0.9394802996499723,true,true,10000,543,false,10000,20000,0.0112113
gamma-heldout,1000989882,20000,defensive,1,1.8546341951891756,8.385239542207934E-5,0.002061509193388239,6207.44856368985,ChecksPassed,2.5474653540202364E-4,-0.9394802996499723,true,true,10000,543,false,10000,20000,0.0112113
gamma-heldout,1000997801,20000,defensive,0,2.136039801483128,0.0015924535604918688,0.0020880799797157418,6176.934440912667,ChecksPassed,2.5337215136389405E-4,-0.9346319903616107,true,true,10000,548,false,10000,20000,0.0107492
gamma-heldout,1000997801,20000,defensive,1,1.851666021269779,-0.0028843215239744424,0.002031881930486425,6176.934440912667,ChecksPassed,2.5337215136389405E-4,-0.9346319903616107,true,true,10000,548,false,10000,20000,0.0107492
gamma-heldout,1001005720,20000,defensive,0,2.13347665226014,-9.706956624961904E-4,0.0021554708031492707,5976.420568365034,ChecksPassed,2.686697098225109E-4,-0.9189337238796015,true,true,10000,531,false,10000,20000,0.0121389
gamma-heldout,1001005720,20000,defensive,1,1.855552831962691,0.001002489168937526,0.002084737580305724,5976.420568365034,ChecksPassed,2.686697098225109E-4,-0.9189337238796015,true,true,10000,531,false,10000,20000,0.0121389
gamma-heldout,1001013639,20000,defensive,0,2.1358872636968527,0.001439915774216427,0.0021204647946286618,6568.250744546804,ChecksPassed,4.744549060347172E-4,0.19152472095550022,true,true,10000,555,false,10000,20000,0.0112006
gamma-heldout,1001013639,20000,defensive,1,1.8541564379866664,-3.9390480708711983E-4,0.0022214738215147085,6568.250744546804,ChecksPassed,4.744549060347172E-4,0.19152472095550022,true,true,10000,555,false,10000,20000,0.0112006
gamma-heldout,1001021558,20000,defensive,0,2.1309865383763547,-0.0034608095462815847,0.002077102665575819,6229.360014675213,ChecksPassed,5.414160526739437E-4,0.1317991192757082,true,true,10000,530,false,10000,20000,0.0104633
gamma-heldout,1001021558,20000,defensive,1,1.8580158660195207,0.0034655232257672086,0.002204908536277837,6229.360014675213,ChecksPassed,5.414160526739437E-4,0.1317991192757082,true,true,10000,530,false,10000,20000,0.0104633
gamma-heldout,1001029477,20000,defensive,0,2.1339852404779123,-4.6210744472396925E-4,0.0021417166981658343,6163.337767666619,ChecksPassed,2.5365879506930404E-4,-0.8829000606804551,true,true,10000,541,false,10000,20000,0.0121715
gamma-heldout,1001029477,20000,defensive,1,1.8550596404183675,5.092976246139358E-4,0.0021394640937209553,6163.337767666619,ChecksPassed,2.5365879506930404E-4,-0.8829000606804551,true,true,10000,541,false,10000,20000,0.0121715
gamma-heldout,1001037396,20000,defensive,0,2.1334126057134246,-0.0010347422092116254,0.0022510111786008457,7624.952586009361,Danger,5.14358639731468E-4,1.2160923563435708,true,true,10000,530,false,10000,20000,0.0116899
gamma-heldout,1001037396,20000,defensive,1,1.8571698709760636,0.002619528182310038,0.0023779178094076366,7624.952586009361,Danger,5.14358639731468E-4,1.2160923563435708,true,true,10000,530,false,10000,20000,0.0116899
gamma-heldout,1001045315,20000,defensive,0,2.1318012526777816,-0.002646095244854596,0.0021497696832051797,6391.8597328097885,ChecksPassed,2.3911540108215144E-4,-0.9241164540436678,true,true,10000,534,false,10000,20000,0.0107767
gamma-heldout,1001045315,20000,defensive,1,1.855681871125568,0.001131528331814513,0.002070461606635947,6391.8597328097885,ChecksPassed,2.3911540108215144E-4,-0.9241164540436678,true,true,10000,534,false,10000,20000,0.0107767
gamma-heldout,1001053234,20000,defensive,0,2.1309314418099095,-0.0035159061127267854,0.0021315297661878285,6214.5455007458295,ChecksPassed,2.492860629747564E-4,-0.9594813710550847,true,true,10000,543,false,10000,20000,0.0109096
gamma-heldout,1001053234,20000,defensive,1,1.8566513415448538,0.002100998751100258,0.0021394200169433455,6214.5455007458295,ChecksPassed,2.492860629747564E-4,-0.9594813710550847,true,true,10000,543,false,10000,20000,0.0109096
gamma-heldout,1001061153,20000,defensive,0,2.134540086071687,9.273814905075284E-5,0.002066645168185252,6219.898473005454,ChecksPassed,3.9374189351287954E-4,0.0727058913622908,true,true,10000,536,false,10000,20000,0.0111476
gamma-heldout,1001061153,20000,defensive,1,1.8524394060458318,-0.0021109367479217322,0.002141374475602171,6219.898473005454,ChecksPassed,3.9374189351287954E-4,0.0727058913622908,true,true,10000,536,false,10000,20000,0.0111476
gamma-heldout,1001069072,20000,defensive,0,2.1344728967020448,2.554877940852407E-5,0.0021702922315276906,7317.030063114152,ChecksPassed,5.091703467917105E-4,0.24387276904176328,true,true,10000,537,false,10000,20000,0.0103271
gamma-heldout,1001069072,20000,defensive,1,1.855293029105003,7.426863112494075E-4,0.0021471761668864797,7317.030063114152,ChecksPassed,5.091703467917105E-4,0.24387276904176328,true,true,10000,537,false,10000,20000,0.0103271
gamma-heldout,1001076991,20000,defensive,0,2.1325542959977035,-0.0018930519249327205,0.002110699852042779,5774.662567110631,ChecksPassed,2.7751314837346815E-4,-0.9999720025730315,true,true,10000,536,false,10000,20000,0.0104075
gamma-heldout,1001076991,20000,defensive,1,1.8534635109090096,-0.0010868318847438996,0.0021036103284564657,5774.662567110631,ChecksPassed,2.7751314837346815E-4,-0.9999720025730315,true,true,10000,536,false,10000,20000,0.0104075
gamma-heldout,1001084910,20000,defensive,0,2.1330147667646577,-0.0014325811579785075,0.00226083785086704,7057.578200369568,Danger,6.506281104156338E-4,1.0937007139270187,true,true,10000,535,false,10000,20000,0.0106637
gamma-heldout,1001084910,20000,defensive,1,1.8565490874026809,0.0019987446089273497,0.0024691485730019506,7057.578200369568,Danger,6.506281104156338E-4,1.0937007139270187,true,true,10000,535,false,10000,20000,0.0106637
gamma-heldout,1001092829,20000,defensive,0,2.1330263998305314,-0.0014209480921048012,0.002145021436026856,6803.678822739293,ChecksPassed,6.101187728723159E-4,0.46461165591743636,true,true,10000,542,false,10000,20000,0.0107313
gamma-heldout,1001092829,20000,defensive,1,1.8545999274575584,4.958466380489135E-5,0.002314920368854263,6803.678822739293,ChecksPassed,6.101187728723159E-4,0.46461165591743636,true,true,10000,542,false,10000,20000,0.0107313
gamma-heldout,1001100748,20000,defensive,0,2.1339641752376144,-4.8317268502184874E-4,0.002143078068563384,5925.447616054389,ChecksPassed,2.703003867077909E-4,-0.8835035484015342,true,true,10000,531,false,10000,20000,0.0101575
gamma-heldout,1001100748,20000,defensive,1,1.8547053116440928,1.5496885033927654E-4,0.002098943387373032,5925.447616054389,ChecksPassed,2.703003867077909E-4,-0.8835035484015342,true,true,10000,531,false,10000,20000,0.0101575
gamma-heldout,1001108667,20000,defensive,0,2.1344087820047246,-3.8565917911626E-5,0.002108823983902008,6193.124066280845,ChecksPassed,2.5100947025385816E-4,-0.9299353760566236,true,true,10000,535,false,10000,20000,0.0102534
gamma-heldout,1001108667,20000,defensive,1,1.853039345170049,-0.0015109976237044354,0.0021236409448395993,6193.124066280845,ChecksPassed,2.5100947025385816E-4,-0.9299353760566236,true,true,10000,535,false,10000,20000,0.0102534
gamma-heldout,1001116586,20000,defensive,0,2.135509420164044,0.0010620722414076411,0.0021005210574546644,6556.671427097084,ChecksPassed,2.3332336318093272E-4,-0.850414309325722,true,true,10000,532,false,10000,20000,0.0096857
gamma-heldout,1001116586,20000,defensive,1,1.8532333142421824,-0.00131702855157112,0.0020488650176075105,6556.671427097084,ChecksPassed,2.3332336318093272E-4,-0.850414309325722,true,true,10000,532,false,10000,20000,0.0096857
gamma-heldout,1001124505,20000,defensive,0,2.133807509315924,-6.398386067121287E-4,0.0020882596203768665,6407.113689139764,ChecksPassed,2.930271267608077E-4,0.003987624418687313,true,true,10000,526,false,10000,20000,0.0099457
gamma-heldout,1001124505,20000,defensive,1,1.8561811402758328,0.0016307974820792825,0.002113710501740226,6407.113689139764,ChecksPassed,2.930271267608077E-4,0.003987624418687313,true,true,10000,526,false,10000,20000,0.0099457
gamma-heldout,1001132424,20000,defensive,0,2.132434439597653,-0.0020129083249833535,0.002072184120485756,6105.3740843404485,ChecksPassed,2.5921943007112415E-4,-0.873372865378576,true,true,10000,540,false,10000,20000,0.0100715
gamma-heldout,1001132424,20000,defensive,1,1.8555856466243636,0.0010353038306101237,0.002072184194394568,6105.3740843404485,ChecksPassed,2.5921943007112415E-4,-0.873372865378576,true,true,10000,540,false,10000,20000,0.0100715
gamma-heldout,1001140343,20000,defensive,0,2.13829381219767,0.0038464642750337674,0.0020951925244859547,6329.634531379369,ChecksPassed,2.444601520694748E-4,-0.6163520238277985,true,true,10000,524,false,10000,20000,0.0095267
gamma-heldout,1001140343,20000,defensive,1,1.8503285804694107,-0.004221762324342793,0.0021016940434833015,6329.634531379369,ChecksPassed,2.444601520694748E-4,-0.6163520238277985,false,true,10000,524,false,10000,20000,0.0095267
gamma-heldout,1001148262,20000,defensive,0,2.1400068508711088,0.005559502948472517,0.0021397146475908087,6325.319749954889,ChecksPassed,2.4414178547592776E-4,-0.8810351719379685,false,true,10000,543,false,10000,20000,0.0098174
gamma-heldout,1001148262,20000,defensive,1,1.8490972268543249,-0.005453115939428654,0.0021159807020009573,6325.319749954889,ChecksPassed,2.4414178547592776E-4,-0.8810351719379685,false,true,10000,543,false,10000,20000,0.0098174
gamma-heldout,1001156181,20000,defensive,0,2.134111833052006,-3.355148706303268E-4,0.0020668231274861377,6741.193563059519,ChecksPassed,5.085865805943896E-4,0.15739979692963163,true,true,10000,535,false,10000,20000,0.0114183
