blocked,workload,strategy,round,seed,method,query,truth,estimate,error,fullWidth,covered,criteriaMet,reason,drawsPerChain,checks,apiSeconds,rHat,bulkEss,meanEss,meanEssPerSecond,acceptance
blocked,multimodal,default,12,157031,adaptive,x,0.0,0.3307071235134105,0.3307071235134105,0.47102010723950094,false,true,PrecisionReached,2000,1,0.0182953,1.003855221529128,1261.7612584410972,1209.0603010547115,66085.84177656073,0.2675
blocked,multimodal,block,12,157031,fixed,positive,0.5,0.5,0.0,NaN,false,false,FixedBudget,12000,1,0.1126531,Infinity,4.000333361113426,4.000333361113426,35.51019333789683,0.7049583333333334
blocked,multimodal,block,12,157031,fixed,x,0.0,-0.008490036407140522,-0.008490036407140522,0.04144515550083566,true,false,FixedBudget,12000,1,0.1126531,1.733533937810644,6.07579348218201,4.1262507372534785,36.62793777759758,0.7049583333333334
blocked,multimodal,block,12,157031,adaptive,positive,0.5,0.5,0.0,NaN,false,false,MaxDrawsReached,12000,6,0.3371795,Infinity,4.000333361113426,4.000333361113426,11.864106095161258,0.7049583333333334
blocked,multimodal,block,12,157031,adaptive,x,0.0,-0.008490036407140522,-0.008490036407140522,0.04144515550083566,true,false,MaxDrawsReached,12000,6,0.3371795,1.733533937810644,6.07579348218201,4.1262507372534785,12.237549249742283,0.7049583333333334
blocked,multimodal,mixed,12,157031,fixed,positive,0.5,0.47181249999999997,-0.028187500000000032,0.05700363689086731,true,true,FixedBudget,12000,1,0.113415,1.0030851369654785,1264.7211159057467,1264.7211159057358,11151.268490990926,0.6214791666666667
blocked,multimodal,mixed,12,157031,fixed,x,0.0,-0.2142405431240535,-0.2142405431240535,0.4594544643652461,true,true,FixedBudget,12000,1,0.113415,1.0022314701076875,1794.2843940394548,1292.7565334473568,11398.461697723906,0.6214791666666667
blocked,multimodal,mixed,12,157031,adaptive,positive,0.5,0.47443749999999996,-0.025562500000000044,0.06745724337631698,true,true,PrecisionReached,8000,4,0.1450518,1.0052255888502863,835.6863109748227,835.6863109748255,5761.295695570999,0.62090625
blocked,multimodal,mixed,12,157031,adaptive,x,0.0,-0.19268616084039358,-0.19268616084039358,0.5438796319672707,true,true,PrecisionReached,8000,4,0.1450518,1.0050761673005777,1214.3107175723167,856.7918541378255,5906.799185793113,0.62090625
blocked,normal,default,12,157031,fixed,x,0.0,0.0017833529682932392,0.0017833529682932392,0.03590974147894945,true,true,FixedBudget,12000,1,0.1163561,1.0003295979009814,15777.627799672859,15783.959487568118,135652.187444991,1.0
blocked,normal,default,12,157031,fixed,y,0.0,-0.012118662599788443,-0.012118662599788443,0.0332972064152478,true,true,FixedBudget,12000,1,0.1163561,1.0000872675428094,16314.985669968248,16313.434401467715,140202.6572003334,1.0
blocked,normal,default,12,157031,adaptive,x,0.0,-0.018194378357415664,-0.018194378357415664,0.08720514709406534,true,true,PrecisionReached,2000,1,0.0180978,1.001037349327261,2682.700509494522,2676.857332858397,147910.64841353075,1.0
blocked,normal,default,12,157031,adaptive,y,0.0,-0.04565069032718427,-0.04565069032718427,0.08041935326601103,false,true,PrecisionReached,2000,1,0.0180978,1.0017033550306833,2831.0083826171444,2835.287828014504,156664.7784821638,1.0
