case,seed,draws,pilotCalls,reference,tolerance,mean,rawMcse,batchMcse,varianceEss,queryK,health,coveredRaw,coveredBatch,accurate,queryFlag
normal,9398621,2000,0,0.0,0.1,-0.014892309856886493,0.01932114225444412,0.014247884304120627,1367.1542728528545,-1.7288081050634192,ChecksPassed,true,true,true,false
normal,9398621,10000,0,0.0,0.1,0.003647283901068679,0.008735480103356022,0.008042449775834326,6889.225068392824,-1.9391136446233217,ChecksPassed,true,true,true,false
normal,9398621,40000,0,0.0,0.1,0.008973498873196694,0.004374365394128859,0.0035280310788864656,27509.808480940126,-1.873711009767038,ChecksPassed,false,false,true,false
normal,9503350,2000,0,0.0,0.1,-0.018590173163816177,0.019798674535720054,0.01872466234783649,1391.403984731407,-1.4613951620868366,ChecksPassed,true,true,true,false
normal,9503350,10000,0,0.0,0.1,5.702190803964368E-4,0.008783907518339814,0.010831516963475604,6933.969897807239,-1.2351981523097593,ChecksPassed,true,true,true,false
normal,9503350,40000,0,0.0,0.1,-9.665566310776819E-4,0.004388462203753768,0.004190445907406461,27631.447259415756,-1.805753297298533,ChecksPassed,true,true,true,false
normal,9608079,2000,0,0.0,0.1,-0.012824960800275181,0.01971520710786688,0.018419450491183483,1386.8279589076521,-1.4129097236143526,ChecksPassed,true,true,true,false
normal,9608079,10000,0,0.0,0.1,-0.024144184031422346,0.008819739478183252,0.008600171373309722,6943.160895780224,-1.6245646554195692,ChecksPassed,false,false,true,false
normal,9608079,40000,0,0.0,0.1,-0.003748486888552266,0.004385013010978768,0.00513566959196917,27612.6761809529,-1.769593251997613,ChecksPassed,true,true,true,false
normal,9712808,2000,0,0.0,0.1,-9.208704727036365E-4,0.019595509635128332,0.02099966433448618,1373.8326819117121,-0.9567226909763387,ChecksPassed,true,true,true,false
normal,9712808,10000,0,0.0,0.1,-8.600660625218963E-4,0.00877830921841363,0.006803266159562883,6866.772284856891,-1.2236653331297838,ChecksPassed,true,true,true,false
normal,9712808,40000,0,0.0,0.1,-0.0020226261192640327,0.004373542029539141,0.0035092030544395993,27517.640834756952,-1.831217809454721,ChecksPassed,true,true,true,false
normal,9817537,2000,0,0.0,0.1,-6.384827195502469E-4,0.01947737760957035,0.01754002416387962,1378.9394653249924,-1.140324499296424,ChecksPassed,true,true,true,false
normal,9817537,10000,0,0.0,0.1,-0.019109308769170906,0.00876335656035443,0.00781104356146151,6861.479150466011,-1.537693078768886,ChecksPassed,false,false,true,false
normal,9817537,40000,0,0.0,0.1,0.0013782348948177465,0.004411075819233431,0.004368711707102326,27644.418267032466,-1.7941162009971776,ChecksPassed,true,true,true,false
normal,9922266,2000,0,0.0,0.1,0.0028829721488044494,0.019378998115744225,0.021072841382022436,1354.9709694340393,-1.2577077229352416,ChecksPassed,true,true,true,false
normal,9922266,10000,0,0.0,0.1,-0.0064219014321102936,0.00879827907604357,0.008089056319867876,6906.224027743358,-1.9291755524774727,ChecksPassed,true,true,true,false
normal,9922266,40000,0,0.0,0.1,3.655839801205125E-4,0.004387694579244582,0.00437241825470353,27524.516404613965,-1.3311016137744875,ChecksPassed,true,true,true,false
normal,10026995,2000,0,0.0,0.1,0.027025097104338716,0.01967650873830849,0.023301051951351688,1376.4303503561919,-1.8695306373087113,ChecksPassed,true,true,true,false
normal,10026995,10000,0,0.0,0.1,-0.010945154672186807,0.008722728369521213,0.011329221068773253,6878.760260603659,-1.8083946284177783,ChecksPassed,true,true,true,false
normal,10026995,40000,0,0.0,0.1,0.0023849309436665064,0.004383088449119589,0.0049351597195286916,27630.349437828336,-1.765023701762912,ChecksPassed,true,true,true,false
normal,10131724,2000,0,0.0,0.1,0.0317911649988386,0.019812396801530924,0.018982263937406908,1376.2541116231243,-1.8301655227025342,ChecksPassed,true,true,true,false
normal,10131724,10000,0,0.0,0.1,0.023099900007589054,0.00879469873888767,0.009686551533508517,6912.927376981473,-1.7433447145121272,ChecksPassed,false,false,true,false
normal,10131724,40000,0,0.0,0.1,0.004127663650664635,0.004397380787058021,0.005795996958447224,27644.574234265714,-1.8012880847493575,ChecksPassed,true,true,true,false
normal,10236453,2000,0,0.0,0.1,-0.005686302692818389,0.019332854172844742,0.022001660835037663,1369.8067597535526,-1.1081844737280366,ChecksPassed,true,true,true,false
normal,10236453,10000,0,0.0,0.1,-0.0015647088450785871,0.008763390942407346,0.00807452844867428,6903.027389180103,-1.0585219172038014,ChecksPassed,true,true,true,false
normal,10236453,40000,0,0.0,0.1,-0.005630450790901153,0.004356803427771075,0.0058725681131066776,27490.648686502547,-1.7855235127808633,ChecksPassed,true,true,true,false
normal,10341182,2000,0,0.0,0.1,-0.008552314569313888,0.01977558903039441,0.019237129811316353,1371.5244637886688,-1.8024420827234218,ChecksPassed,true,true,true,false
normal,10341182,10000,0,0.0,0.1,-0.009300619208212136,0.008830865327035683,0.009283554930867553,6929.004305152126,-1.7284258016578335,ChecksPassed,true,true,true,false
normal,10341182,40000,0,0.0,0.1,-0.010974712410413087,0.004393440919712908,0.004113197429910855,27614.296277980953,-1.851888032777831,ChecksPassed,false,false,true,false
normal,10445911,2000,0,0.0,0.1,-0.009448530919734518,0.01957715282662911,0.019843558904373223,1384.8031176416343,-1.268812016598672,ChecksPassed,true,true,true,false
normal,10445911,10000,0,0.0,0.1,-0.019414151494568065,0.008732846690356047,0.00972037246252143,6892.061702742371,-1.6814009674469044,ChecksPassed,false,true,true,false
normal,10445911,40000,0,0.0,0.1,0.0022099425206204035,0.004383958326723713,0.005431597148590958,27587.066381213695,-1.776067277374246,ChecksPassed,true,true,true,false
normal,10550640,2000,0,0.0,0.1,-0.008757849383643726,0.019312307962112873,0.01382092264471048,1376.6652678658513,-1.2697536188587055,ChecksPassed,true,true,true,false
normal,10550640,10000,0,0.0,0.1,0.009737396909839276,0.008705356826785976,0.009590550217707305,6918.569589750843,-1.6915450408487354,ChecksPassed,true,true,true,false
normal,10550640,40000,0,0.0,0.1,0.004573933214273639,0.004375753811637739,0.004338064369291707,27630.611452826615,-1.7673025141168004,ChecksPassed,true,true,true,false
normal,10655369,2000,0,0.0,0.1,0.005711989950619432,0.019642972514995333,0.01905883443862181,1391.9539352076679,-1.030473050764039,ChecksPassed,true,true,true,false
normal,10655369,10000,0,0.0,0.1,0.010154516523639013,0.008736726947299326,0.009988717507137621,6890.698826520598,-1.7475757610440739,ChecksPassed,true,true,true,false
normal,10655369,40000,0,0.0,0.1,0.004917371306417567,0.004381346469062565,0.00496496760066282,27552.060359469193,-1.7715951952124074,ChecksPassed,true,true,true,false
