"budgetResearch","target","sampler","round","seed","record","budgetPerChain","drawsPerChain","availableDraws","evaluations","pilotEvaluations","warmupEvaluations","status","reason","query","truth","estimate","fullWidth","meanEss","covered","criteriaMet","failureReasons"
"budgetResearch","banana","affine-gpss","5","1335676","fixed","50000","5685","22864","200000","15160","30031","Ok","FixedBudget","xSquared","1.0","0.9743006768468464","0.07385491185581564","9493.876642751713","true","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","50000","5685","22864","200000","15160","30031","Ok","FixedBudget","y","0.0","-0.01823293898905798","0.04094900431982924","8696.0123006639","true","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","50000","5685","22864","200000","15160","30031","Ok","FixedBudget","ySquared","0.57","0.5255844208318596","0.06192401460282115","8906.605347587349","false","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","100000","12378","49744","400000","15160","30031","Ok","FixedBudget","event","0.045500263896358334","0.04241396025206011","0.006963768420666872","23486.98986155563","true","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","100000","12378","49744","400000","15160","30031","Ok","FixedBudget","x","0.0","0.004909869167266878","0.030930864370028267","26924.679061115625","true","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","100000","12378","49744","400000","15160","30031","Ok","FixedBudget","xSquared","1.0","0.9706049751706802","0.0507660086056867","19761.22491171139","false","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","100000","12378","49744","400000","15160","30031","Ok","FixedBudget","y","0.0","-0.016028600238634172","0.027829206541562342","18849.99766035453","false","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","100000","12378","49744","400000","15160","30031","Ok","FixedBudget","ySquared","0.57","0.5290368390331883","0.04615648455847303","16804.124302437278","false","true",""
"budgetResearch","banana","affine-gpss","5","1335676","stopped","25000","2349","9452","100000","15160","30031","Ok","PrecisionReached","event","0.045500263896358334","0.039697743720732225","0.014903475608496232","4555.531194368675","true","true",""
"budgetResearch","banana","affine-gpss","5","1335676","stopped","25000","2349","9452","100000","15160","30031","Ok","PrecisionReached","x","0.0","0.002136249914148569","0.07019269737879012","5095.411218920463","true","true",""
"budgetResearch","banana","affine-gpss","5","1335676","stopped","25000","2349","9452","100000","15160","30031","Ok","PrecisionReached","xSquared","1.0","0.9449171514656853","0.10776501340177692","3867.3760215107554","false","true",""
"budgetResearch","banana","affine-gpss","5","1335676","stopped","25000","2349","9452","100000","15160","30031","Ok","PrecisionReached","y","0.0","-0.03264386284227372","0.06120288903375865","3587.4156255312473","false","true",""
"budgetResearch","banana","affine-gpss","5","1335676","stopped","25000","2349","9452","100000","15160","30031","Ok","PrecisionReached","ySquared","0.57","0.5073390891415361","0.08765923898892111","3725.151163854422","false","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","25000","2307","9336","100000","15128","29941","Ok","FixedBudget","event","0.045500263896358334","0.043888166449934984","0.016084552799539593","4305.061551263359","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","25000","2307","9336","100000","15128","29941","Ok","FixedBudget","x","0.0","-0.006813564647022652","0.06807770364117144","5607.356513797971","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","25000","2307","9336","100000","15128","29941","Ok","FixedBudget","xSquared","1.0","0.9791457457785899","0.11966409020596865","3557.0718684123317","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","25000","2307","9336","100000","15128","29941","Ok","FixedBudget","y","0.0","-0.013181847553959347","0.06686654629262195","3305.413011161254","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","25000","2307","9336","100000","15128","29941","Ok","FixedBudget","ySquared","0.57","0.5569777025391046","0.11840881869663428","2924.7474144160374","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","50000","5521","22455","200000","15128","29941","Ok","FixedBudget","event","0.045500263896358334","0.04827024089838794","0.011294662282742876","9557.85488427519","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","50000","5521","22455","200000","15128","29941","Ok","FixedBudget","x","0.0","-0.0052541552053657625","0.04624230710283872","12611.807324393643","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","50000","5521","22455","200000","15128","29941","Ok","FixedBudget","xSquared","1.0","1.0161417531451749","0.08366917676797944","7835.601794197893","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","50000","5521","22455","200000","15128","29941","Ok","FixedBudget","y","0.0","0.006910870653711765","0.045876459819562516","7394.8421698342945","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","50000","5521","22455","200000","15128","29941","Ok","FixedBudget","ySquared","0.57","0.5864490091946435","0.09222730682875344","5695.354275477744","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","100000","11994","48977","400000","15128","29941","Ok","FixedBudget","event","0.045500263896358334","0.045856261464065406","0.007527398824801072","20970.10814534664","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","100000","11994","48977","400000","15128","29941","Ok","FixedBudget","x","0.0","-0.0075697198003235044","0.03128036612767305","27409.988402674604","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","100000","11994","48977","400000","15128","29941","Ok","FixedBudget","xSquared","1.0","1.010587517480178","0.05632470796512919","17202.127068283713","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","100000","11994","48977","400000","15128","29941","Ok","FixedBudget","y","0.0","0.0052871109477730105","0.031369218141403185","16166.46052738881","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","fixed","100000","11994","48977","400000","15128","29941","Ok","FixedBudget","ySquared","0.57","0.5741202420438656","0.06504409705303034","11716.959403353982","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","stopped","25000","2307","9336","100000","15128","29941","Ok","PrecisionReached","event","0.045500263896358334","0.043888166449934984","0.016084552799539593","4305.061551263359","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","stopped","25000","2307","9336","100000","15128","29941","Ok","PrecisionReached","x","0.0","-0.006813564647022652","0.06807770364117144","5607.356513797971","true","true",""
"budgetResearch","banana","affine-gpss","6","1440405","stopped","25000","2307","9336","100000","15128","29941","Ok","PrecisionReached","xSquared","1.0","0.9791457457785899","0.11966409020596865","3557.0718684123317","true","true",""
