"research","target","sampler","round","seed","method","draws","query","truth","estimate","fullWidth","covered","criteriaMet","reason","meanEss","evaluationsFullRun","failureReasons"
"research","banana","figaro-block","10","220201","stopped","8000","event","0.045500263896358334","0.0455625","0.026300757511902022","true","true","PrecisionReached","1668.5001429667968","80086",""
"research","banana","figaro-block","10","220201","stopped","8000","x","0.0","-0.01292702595637496","0.12351692406865922","true","true","PrecisionReached","1683.9280752291845","80086",""
"research","banana","figaro-block","10","220201","stopped","8000","xSquared","1.0","0.9681523837713585","0.17778776045275155","true","true","PrecisionReached","1501.5566457686855","80086",""
"research","banana","figaro-block","10","220201","stopped","8000","y","0.0","-0.025444194675594112","0.09419350382414013","true","true","PrecisionReached","1589.9791565236328","80086",""
"research","banana","figaro-block","10","220201","stopped","8000","ySquared","0.57","0.5321747530030081","0.15867363412382443","true","true","PrecisionReached","1238.7213108799442","80086",""
"research","banana","figaro-block","11","228120","fixed","12000","event","0.045500263896358334","0.04795833333333333","0.022454787387511034","true","true","FixedBudget","2403.2853640914095","79942",""
"research","banana","figaro-block","11","228120","fixed","12000","x","0.0","-0.0117381997875321","0.10764450295225082","true","true","FixedBudget","2312.4069864504686","79942",""
"research","banana","figaro-block","11","228120","fixed","12000","xSquared","1.0","1.009727198857438","0.16190146491838883","true","true","FixedBudget","2054.593211421559","79942",""
"research","banana","figaro-block","11","228120","fixed","12000","y","0.0","-0.006047242849337237","0.08557655164535596","true","true","FixedBudget","2109.476176129445","79942",""
"research","banana","figaro-block","11","228120","fixed","12000","ySquared","0.57","0.5821143092870579","0.16367395705470894","true","true","FixedBudget","1566.736185520558","79942",""
"research","banana","figaro-block","11","228120","stopped","10000","event","0.045500263896358334","0.048475","0.025391000320508356","true","true","PrecisionReached","1898.8182932675998","79942",""
"research","banana","figaro-block","11","228120","stopped","10000","x","0.0","-0.033092514382623506","0.11917884368648067","true","true","PrecisionReached","1876.0045634606797","79942",""
"research","banana","figaro-block","11","228120","stopped","10000","xSquared","1.0","1.005080098502275","0.18159935614217082","true","true","PrecisionReached","1635.4869645628116","79942",""
"research","banana","figaro-block","11","228120","stopped","10000","y","0.0","-0.010284714661267961","0.09574359857511364","true","true","PrecisionReached","1671.9579144720922","79942",""
"research","banana","figaro-block","11","228120","stopped","10000","ySquared","0.57","0.5775896034923484","0.1833540150179559","true","true","PrecisionReached","1238.2294694561726","79942",""
"research","banana","figaro-block","12","236039","fixed","12000","event","0.045500263896358334","0.047125","0.02679773043516375","true","true","FixedBudget","1659.5657606963873","79927",""
"research","banana","figaro-block","12","236039","fixed","12000","x","0.0","-0.013917882210172872","0.11534001657221449","true","true","FixedBudget","2017.9625663755303","79927",""
"research","banana","figaro-block","12","236039","fixed","12000","xSquared","1.0","1.0117031150080913","0.22453948942994292","true","true","FixedBudget","1211.3251208640747","79927",""
"research","banana","figaro-block","12","236039","fixed","12000","y","0.0","0.006744147084665308","0.10795547866510871","true","true","FixedBudget","1440.3765081887718","79927",""
"research","banana","figaro-block","12","236039","fixed","12000","ySquared","0.57","0.6325479246377484","0.3607433499980596","true","false","FixedBudget","763.7427965971144","79927","WidthTooLarge"
"research","banana","figaro-block","12","236039","stopped","12000","event","0.045500263896358334","0.047125","0.02679773043516375","true","true","MaxDrawsReached","1659.5657606963873","79927",""
"research","banana","figaro-block","12","236039","stopped","12000","x","0.0","-0.013917882210172872","0.11534001657221449","true","true","MaxDrawsReached","2017.9625663755303","79927",""
"research","banana","figaro-block","12","236039","stopped","12000","xSquared","1.0","1.0117031150080913","0.22453948942994292","true","true","MaxDrawsReached","1211.3251208640747","79927",""
"research","banana","figaro-block","12","236039","stopped","12000","y","0.0","0.006744147084665308","0.10795547866510871","true","true","MaxDrawsReached","1440.3765081887718","79927",""
"research","banana","figaro-block","12","236039","stopped","12000","ySquared","0.57","0.6325479246377484","0.3607433499980596","true","false","MaxDrawsReached","763.7427965971144","79927","WidthTooLarge"
"research","banana","figaro-block","13","243958","fixed","12000","event","0.045500263896358334","0.04541666666666667","0.02617664429645721","true","true","FixedBudget","1679.2074752552198","80018",""
"research","banana","figaro-block","13","243958","fixed","12000","x","0.0","0.010778901155078957","0.10916691745159557","true","true","FixedBudget","2238.55929375146","80018",""
"research","banana","figaro-block","13","243958","fixed","12000","xSquared","1.0","1.0053046548511708","0.2114279451903634","true","true","FixedBudget","1295.5974732344428","80018",""
"research","banana","figaro-block","13","243958","fixed","12000","y","0.0","-0.0033318300557776404","0.10570833347283477","true","true","FixedBudget","1438.2180823661545","80018",""
"research","banana","figaro-block","13","243958","fixed","12000","ySquared","0.57","0.6055471440722711","0.2938484063397521","true","false","FixedBudget","830.2803742237493","80018","WidthTooLarge"
"research","banana","figaro-block","13","243958","stopped","8000","event","0.045500263896358334","0.034","0.02121533705409875","false","true","PrecisionReached","1936.7068740690802","80018",""
"research","banana","figaro-block","13","243958","stopped","8000","x","0.0","-0.026356418055591746","0.11268287577276484","true","true","PrecisionReached","1921.886429271165","80018",""
"research","banana","figaro-block","13","243958","stopped","8000","xSquared","1.0","0.9201610150745417","0.16390342793635249","true","true","PrecisionReached","1601.311718893461","80018",""
"research","banana","figaro-block","13","243958","stopped","8000","y","0.0","-0.04645603017980777","0.08654206536158088","false","true","PrecisionReached","1796.0473704772603","80018",""
"research","banana","figaro-block","13","243958","stopped","8000","ySquared","0.57","0.5089908028285502","0.15937222881373436","true","true","PrecisionReached","1198.778222184888","80018",""
"research","banana","figaro-block","14","251877","fixed","12000","event","0.045500263896358334","0.049979166666666665","0.025565350187709834","true","true","FixedBudget","1928.0657780364495","80144",""
"research","banana","figaro-block","14","251877","fixed","12000","x","0.0","0.055349827599376455","0.11765961310080701","true","true","FixedBudget","1992.686062265284","80144",""
"research","banana","figaro-block","14","251877","fixed","12000","xSquared","1.0","1.0424822814939108","0.20019615922175796","true","true","FixedBudget","1437.479604512976","80144",""
"research","banana","figaro-block","14","251877","fixed","12000","y","0.0","0.026553251403038436","0.09838562469204347","true","true","FixedBudget","1668.2506294843504","80144",""
"research","banana","figaro-block","14","251877","fixed","12000","ySquared","0.57","0.6091501696149639","0.21508780238161632","true","true","FixedBudget","1185.7083346611566","80144",""
"research","banana","figaro-block","14","251877","stopped","12000","event","0.045500263896358334","0.049979166666666665","0.025565350187709834","true","true","PrecisionReached","1928.0657780364495","80144",""
"research","banana","figaro-block","14","251877","stopped","12000","x","0.0","0.055349827599376455","0.11765961310080701","true","true","PrecisionReached","1992.686062265284","80144",""
"research","banana","figaro-block","14","251877","stopped","12000","xSquared","1.0","1.0424822814939108","0.20019615922175796","true","true","PrecisionReached","1437.479604512976","80144",""
"research","banana","figaro-block","14","251877","stopped","12000","y","0.0","0.026553251403038436","0.09838562469204347","true","true","PrecisionReached","1668.2506294843504","80144",""
"research","banana","figaro-block","14","251877","stopped","12000","ySquared","0.57","0.6091501696149639","0.21508780238161632","true","true","PrecisionReached","1185.7083346611566","80144",""
"research","banana","figaro-block","15","259796","fixed","12000","event","0.045500263896358334","0.03827083333333333","0.022413650549360987","true","true","FixedBudget","1944.4586469821763","79879",""
"research","banana","figaro-block","15","259796","fixed","12000","x","0.0","0.00783002535608518","0.10840731353458452","true","true","FixedBudget","2175.9862090502543","79879",""
"research","banana","figaro-block","15","259796","fixed","12000","xSquared","1.0","0.9636020993795215","0.17544745383662766","true","true","FixedBudget","1564.6670155914624","79879",""
"research","banana","figaro-block","15","259796","fixed","12000","y","0.0","-0.01612190396892199","0.08751019347584423","true","true","FixedBudget","1862.9830989781788","79879",""
"research","banana","figaro-block","15","259796","fixed","12000","ySquared","0.57","0.5378150381989546","0.21294514396974587","true","false","FixedBudget","943.9002310602101","79879","WidthTooLarge"
"research","banana","figaro-block","15","259796","stopped","12000","event","0.045500263896358334","0.03827083333333333","0.022413650549360987","true","true","MaxDrawsReached","1944.4586469821763","79879",""
"research","banana","figaro-block","15","259796","stopped","12000","x","0.0","0.00783002535608518","0.10840731353458452","true","true","MaxDrawsReached","2175.9862090502543","79879",""
"research","banana","figaro-block","15","259796","stopped","12000","xSquared","1.0","0.9636020993795215","0.17544745383662766","true","true","MaxDrawsReached","1564.6670155914624","79879",""
"research","banana","figaro-block","15","259796","stopped","12000","y","0.0","-0.01612190396892199","0.08751019347584423","true","true","MaxDrawsReached","1862.9830989781788","79879",""
"research","banana","figaro-block","15","259796","stopped","12000","ySquared","0.57","0.5378150381989546","0.21294514396974587","true","false","MaxDrawsReached","943.9002310602101","79879","WidthTooLarge"
"research","banana","figaro-block","16","267715","fixed","12000","event","0.045500263896358334","0.046125","0.02259671387047807","true","true","FixedBudget","2286.8647026150616","80099",""
