case,seed,draws,method,fit,pilotCalls,fitCalls,productionCalls,reference,mean,ess,accurate,health
balanced,14344884,10000,multi,Fitted,12000,14790,10000,0.4997854698334016,0.49234133542260755,7032.819815433866,true,ChecksPassed
balanced,14475247,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5064357096394656,196.9734232993613,true,ChecksPassed
balanced,14475247,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5048946030005353,938.6913913958316,true,ChecksPassed
balanced,14475247,2000,multi,Fitted,12000,14580,2000,0.4997854698334016,0.5161470583625637,1669.4778154809244,true,ChecksPassed
balanced,14475247,10000,multi,Fitted,12000,14580,10000,0.4997854698334016,0.5000209298600653,8350.691131249794,true,ChecksPassed
balanced,14605610,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4921872136755375,195.495741783885,true,ChecksPassed
balanced,14605610,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.49019177317863827,991.2143200027679,true,ChecksPassed
balanced,14605610,2000,multi,Fitted,12000,14630,2000,0.4997854698334016,0.49734148339121265,1694.9699426434365,true,ChecksPassed
balanced,14605610,10000,multi,Fitted,12000,14630,10000,0.4997854698334016,0.49931590257744046,8536.360505352746,true,ChecksPassed
balanced,14735973,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.48673213323289266,222.09422081899152,true,ChecksPassed
balanced,14735973,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5115931028921449,996.07996806373,true,ChecksPassed
balanced,14735973,2000,multi,Fitted,12000,14550,2000,0.4997854698334016,0.5196239403376606,1655.2691547699303,true,ChecksPassed
balanced,14735973,10000,multi,Fitted,12000,14550,10000,0.4997854698334016,0.4976603844940178,8218.484558311313,true,ChecksPassed
balanced,14866336,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.48910358158091843,204.25124988003319,true,ChecksPassed
balanced,14866336,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.518235549467651,1008.0317706045257,true,ChecksPassed
balanced,14866336,2000,multi,Fitted,12000,14640,2000,0.4997854698334016,0.511855756766561,1748.5978910630781,true,ChecksPassed
balanced,14866336,10000,multi,Fitted,12000,14640,10000,0.4997854698334016,0.5072180994871287,8641.05933793475,true,ChecksPassed
balanced,14996699,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5011347715460968,184.18039599083824,true,ChecksPassed
balanced,14996699,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.47817582628316807,923.9132089133296,true,ChecksPassed
balanced,14996699,2000,multi,Fitted,12000,14660,2000,0.4997854698334016,0.49600861616620817,1687.8120419857325,true,ChecksPassed
balanced,14996699,10000,multi,Fitted,12000,14660,10000,0.4997854698334016,0.5031063015222088,8428.347326028119,true,ChecksPassed
balanced,15127062,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4611748049802516,187.3732258405116,false,ChecksPassed
