case,seed,method,status,truth,estimate,mcse,eventEss,hits,pilotCalls,productionCalls,densityCalls,seconds
tail3,90015,ce,Fitted,0.0013498980316300946,0.001351626213248333,2.2529016092952014E-5,2528.8329972100128,4884,1500,8500,20000,0.0058314
tail3,90015,supplied,Completed,0.0013498980316300946,0.0013513937485716636,2.659660794554661E-5,2052.13234856079,4468,0,10000,20000,0.0053958
tail3,90016,ce,Fitted,0.0013498980316300946,0.0013555705672517937,2.322975805171654E-5,2431.4765829525118,5059,1500,8500,20000,0.0061126
tail3,90016,supplied,Completed,0.0013498980316300946,0.0013253934638346706,2.635812191685747E-5,2018.3513228943707,4427,0,10000,20000,0.0055811
tail3,90016,prior,Completed,0.0013498980316300946,6.999999999999995E-4,2.644957387172427E-4,7.0,7,0,10000,20000,0.0037044
tail3,90017,supplied,Completed,0.0013498980316300946,0.001352753964041824,2.6506985414487466E-5,2066.461496607501,4484,0,10000,20000,0.0072488
tail3,90017,prior,Completed,0.0013498980316300946,0.0020999999999999973,4.5779903669164435E-4,21.0,21,0,10000,20000,0.0044815
tail3,90017,ce,Fitted,0.0013498980316300946,0.0013441992025987413,2.2526132952556297E-5,2509.752591962489,5034,1500,8500,20000,0.0066473
tail3,90018,prior,Completed,0.0013498980316300946,0.0013999999999999991,3.739224275142907E-4,14.0,14,0,10000,20000,0.0068269
tail3,90018,ce,Fitted,0.0013498980316300946,0.0013740632024596775,2.335129269826027E-5,2460.505436494923,5060,1500,8500,20000,0.0057014
tail3,90018,supplied,Completed,0.0013498980316300946,0.001380296473970466,2.7090993752568248E-5,2061.098435313426,4455,0,10000,20000,0.0054045
tail3,90019,ce,Fitted,0.0013498980316300946,0.0013744569689914722,2.3236720180964525E-5,2478.7449128699805,5153,1500,8500,20000,0.0058531
tail3,90019,supplied,Completed,0.0013498980316300946,0.0013452356771182245,2.6297342092297732E-5,2074.2338883574994,4530,0,10000,20000,0.0054046
tail3,90019,prior,Completed,0.0013498980316300946,0.0012999999999999982,3.6033870788251186E-4,13.0,13,0,10000,20000,0.0039479
tail3,90020,supplied,Completed,0.0013498980316300946,0.001308570738181389,2.6006750642950238E-5,2020.4349518485365,4546,0,10000,20000,0.0058444
tail3,90020,prior,Completed,0.0013498980316300946,0.0013999999999999991,3.7392242751429003E-4,14.0,14,0,10000,20000,0.0036763
tail3,90020,ce,Fitted,0.0013498980316300946,0.001333140769344965,2.2863985578873333E-5,2428.652610450579,4984,1500,8500,20000,0.0058114
tail3,90021,prior,Completed,0.0013498980316300946,0.0024999999999999983,4.993995794892096E-4,25.0,25,0,10000,20000,0.0036824
tail3,90021,ce,Fitted,0.0013498980316300946,0.0013266625942476426,2.2259005434659777E-5,2505.5007552147504,4918,1500,8500,20000,0.005653
tail3,90021,supplied,Completed,0.0013498980316300946,0.0013670530277596162,2.6943955803061243E-5,2047.392047643822,4494,0,10000,20000,0.0053499
tail3,90022,ce,Fitted,0.0013498980316300946,0.0013787003467453174,2.244142294473754E-5,2613.940954338926,5138,1500,8500,20000,0.0055766
tail3,90022,supplied,Completed,0.0013498980316300946,0.0013980514782559958,2.7117126801776918E-5,2100.039004066172,4553,0,10000,20000,0.0054792
tail3,90022,prior,Completed,0.0013498980316300946,0.0010999999999999992,3.314965897243873E-4,11.0,11,0,10000,20000,0.0038746
tail3,90023,supplied,Completed,0.0013498980316300946,0.0013716317759330384,2.6879196553450834E-5,2066.1804925886095,4446,0,10000,20000,0.0054796
tail3,90023,prior,Completed,0.0013498980316300946,0.0013999999999999991,3.739224275142897E-4,14.0,14,0,10000,20000,0.0037411
tail3,90023,ce,Fitted,0.0013498980316300946,0.0013315431546373313,2.2821604879365136E-5,2430.929970909616,5077,1500,8500,20000,0.0059623
tail3,90024,prior,Completed,0.0013498980316300946,0.0010999999999999992,3.3149658972438903E-4,11.0,11,0,10000,20000,0.0055817
tail3,90024,ce,Fitted,0.0013498980316300946,0.0013578267761294167,2.2661560708164742E-5,2524.2554353952573,4923,1500,8500,20000,0.0059314
tail3,90024,supplied,Completed,0.0013498980316300946,0.0013247440680540343,2.627456331114159E-5,2027.016376031132,4455,0,10000,20000,0.0056181
tail3,90025,ce,Fitted,0.0013498980316300946,0.0013693742630418316,2.2888371334276684E-5,2518.9687642363097,5042,1500,8500,20000,0.0055957
tail3,90025,supplied,Completed,0.0013498980316300946,0.0014010132625604415,2.729895042540959E-5,2084.9273651061253,4501,0,10000,20000,0.0055629
tail3,90025,prior,Completed,0.0013498980316300946,0.0012999999999999982,3.6033870788251376E-4,13.0,13,0,10000,20000,0.0037566
tail3,90026,supplied,Completed,0.0013498980316300946,0.0013369461223027548,2.6533805291305005E-5,2024.9175684419558,4494,0,10000,20000,0.0054129
tail3,90026,prior,Completed,0.0013498980316300946,0.001999999999999997,4.467884980571875E-4,20.0,20,0,10000,20000,0.0037693
tail3,90026,ce,Fitted,0.0013498980316300946,0.0013394329275332414,2.2520417846853768E-5,2498.1006510982925,5024,1500,8500,20000,0.0057286
tail3,90027,prior,Completed,0.0013498980316300946,0.0016999999999999986,4.119805490521122E-4,17.0,17,0,10000,20000,0.003636
tail3,90027,ce,Fitted,0.0013498980316300946,0.0013644222612204512,2.2767244527766227E-5,2524.94011434039,5103,1500,8500,20000,0.0055106
tail3,90027,supplied,Completed,0.0013498980316300946,0.0013886927526258368,2.7079839575217785E-5,2082.373415221585,4508,0,10000,20000,0.0053525
tail3,90028,ce,Fitted,0.0013498980316300946,0.0013133933451279216,2.3020488408384055E-5,2353.9170083407485,5126,1500,8500,20000,0.0056838
tail3,90028,supplied,Completed,0.0013498980316300946,0.0013195834825235641,2.6129094345104063E-5,2032.3507666582557,4476,0,10000,20000,0.0051965
tail3,90028,prior,Completed,0.0013498980316300946,0.0017999999999999982,4.2390325476096286E-4,18.0,18,0,10000,20000,0.0035908
tail3,90029,supplied,Completed,0.0013498980316300946,0.001375074353465832,2.6943301342438425E-5,2066.5890740548916,4535,0,10000,20000,0.0054765
tail3,90029,prior,Completed,0.0013498980316300946,8.999999999999998E-4,2.9987996398438946E-4,9.0,9,0,10000,20000,0.0036616
tail3,90029,ce,Fitted,0.0013498980316300946,0.001342081912453901,2.2806448898414532E-5,2460.711332998938,5159,1500,8500,20000,0.0076549
tail5,90000,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0037438
tail5,90000,ce,Fitted,2.866515718791939E-7,2.73490681735551E-7,6.281782949214193E-9,1513.2397132477001,4069,2500,7500,20000,0.0062345
tail5,90000,supplied,Completed,2.866515718791939E-7,2.8282060446725483E-7,7.237871639000078E-9,1324.7284096832072,4461,0,10000,20000,0.0052928
tail5,90001,ce,Fitted,2.866515718791939E-7,2.82698526860341E-7,6.5070126801144746E-9,1508.141192497012,4167,2500,7500,20000,0.005677
tail5,90001,supplied,Completed,2.866515718791939E-7,2.8644525554722857E-7,7.20698395740461E-9,1364.3196823853511,4494,0,10000,20000,0.0055771
tail5,90001,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0035424
tail5,90002,supplied,Completed,2.866515718791939E-7,2.761761238052971E-7,7.037454293392102E-9,1334.6586149206726,4486,0,10000,20000,0.0053387
tail5,90002,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0039295
tail5,90002,ce,Fitted,2.866515718791939E-7,2.8013622756486466E-7,6.416032226872687E-9,1520.166664821618,4097,2500,7500,20000,0.0066797
tail5,90003,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.00369
tail5,90003,ce,Fitted,2.866515718791939E-7,2.8969264745524126E-7,6.5862823181074436E-9,1538.0747236824873,4041,2500,7500,20000,0.0058978
tail5,90003,supplied,Completed,2.866515718791939E-7,2.8914908596958033E-7,7.306578355208321E-9,1354.1497564936928,4447,0,10000,20000,0.0059596
tail5,90004,ce,Fitted,2.866515718791939E-7,2.9566830589295954E-7,6.685879229980056E-9,1551.3436660011425,4147,2500,7500,20000,0.0063132
tail5,90004,supplied,Completed,2.866515718791939E-7,2.8762574002514417E-7,7.255618225804167E-9,1358.174510699821,4493,0,10000,20000,0.00557
tail5,90004,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0037837
tail5,90005,supplied,Completed,2.866515718791939E-7,2.80757189420776E-7,7.1191266805593065E-9,1346.0632801557379,4509,0,10000,20000,0.0052264
tail5,90005,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0036686
tail5,90005,ce,Fitted,2.866515718791939E-7,2.825744830242385E-7,6.493068297651589E-9,1512.257378090539,4109,2500,7500,20000,0.0078273
tail5,90006,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0037205
tail5,90006,ce,Fitted,2.866515718791939E-7,2.8420885355400137E-7,6.519528390650718E-9,1516.367318380443,4051,2500,7500,20000,0.0061451
