fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-separated,4,6,1,6,gvm-em,Converged,800,3000,-2.6502344591747766,0.013998789663707097,0.275,0.37833333333333335,7.0448,0.6746,0.513,324
gvm-separated,4,6,1,5,gmm-chart-em,Fitted,800,3000,-2.646036635808091,0.01390636247791432,0.25433333333333336,0.37833333333333335,1.1441,0.724,0.49,0
gvm-separated,4,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.6493466675670105,0.01390636247791431,0.25266666666666665,0.37833333333333335,0.9956,1.062,0.4922,0
gvm-separated,4,13,2,13,gvm-em,Converged,800,3000,-2.402632169715565,0.01784767811268199,0.4096666666666667,0.37833333333333335,65.6597,1.1096,0.5692,3695
gvm-separated,4,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4017843968980643,0.017750558010595857,0.4066666666666667,0.37833333333333335,4.8484,1.3172,0.5446,0
gvm-separated,4,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.4017860594884097,0.017750558010595854,0.4066666666666667,0.37833333333333335,4.6749,1.9476,0.522,0
gvm-separated,4,27,4,27,gvm-em,IterationLimit,800,3000,-2.41386483065471,0.018644672133956895,0.4053333333333333,0.37833333333333335,463.5223,1.533,0.6659,27002
gvm-separated,4,27,4,23,gmm-chart-em,Fitted,800,3000,-2.4096516294142467,0.018161304076318836,0.4206666666666667,0.37833333333333335,74.5529,2.2718,0.5894,0
gvm-separated,4,27,4,23,gmm-wrapped-em,Fitted,800,3000,-2.4096543953237965,0.018161304076318843,0.4206666666666667,0.37833333333333335,75.9189,3.5205,0.6199,0
gaussian-local,0,6,1,6,gvm-em,Converged,800,3000,-1.0094317903830787,0.01867213267782775,0.13066666666666665,0.15433333333333332,5.0191,0.6452,0.5418,222
gaussian-local,0,6,1,5,gmm-chart-em,Fitted,800,3000,-1.0084996409962703,0.018655558294203393,0.135,0.15433333333333332,1.0484,0.7578,0.525,0
gaussian-local,0,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.0084996409962703,0.018655558294203393,0.135,0.15433333333333332,0.9708,1.1337,0.525,0
gaussian-local,0,13,2,13,gvm-em,IterationLimit,800,3000,-1.0163045753052047,0.019106323456880382,0.13366666666666666,0.15433333333333332,239.3673,0.9284,0.5743,13343
gaussian-local,0,13,2,11,gmm-chart-em,Fitted,800,3000,-1.0123048279762163,0.01892103737504763,0.127,0.15433333333333332,54.3749,1.2495,0.5482,0
gaussian-local,0,13,2,11,gmm-wrapped-em,Fitted,800,3000,-1.0123048279762163,0.018921037375047637,0.127,0.15433333333333332,56.0437,1.9839,0.5767,0
gaussian-local,0,27,4,27,gvm-em,IterationLimit,800,3000,-1.0293185159752714,0.019829344499444422,0.12833333333333333,0.15433333333333332,458.31,1.5098,0.5793,26551
gaussian-local,0,27,4,23,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.15433333333333332,199.9894,,,0
gaussian-local,0,27,4,23,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.15433333333333332,199.3435,,,0
gaussian-local,1,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.0216864327078987,0.016217037047768185,0.14466666666666667,0.161,1.1364,1.1798,0.5274,0
gaussian-local,1,6,1,5,gmm-chart-em,Fitted,800,3000,-1.0216864327078985,0.016217037047768185,0.14466666666666667,0.161,0.9907,0.7494,0.5062,0
gaussian-local,1,6,1,6,gvm-em,Converged,800,3000,-1.0221150303674853,0.016234845155631537,0.14933333333333335,0.161,4.9425,0.6231,0.5074,216
gaussian-local,1,13,2,11,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.161,100.0724,,,0
gaussian-local,1,13,2,11,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.161,99.2979,,,0
