model,method,seed,draws,estimate,truth,ess,seconds
2,3,98002,6000,0.46462621942735755,0.47521106785827344,5964.657581204411,0.0064265
2,0,98002,6000,0.46462621942735755,0.47521106785827344,5964.657581204411,0.0395968
2,1,98002,6000,0.4596552840152597,0.47521106785827344,4752.641731334217,0.0023037
2,3,98003,6000,0.5044094340097433,0.47521106785827344,5965.933371961566,0.0040145
2,0,98003,6000,0.5044094340097433,0.47521106785827344,5965.933371961566,0.0340576
2,1,98003,6000,0.4863306292417017,0.47521106785827344,4800.265875937449,0.0023667
2,2,98003,6000,0.5044094340097433,0.47521106785827344,5965.933371961566,0.0047836
2,0,98004,6000,0.4821279720895363,0.47521106785827344,5968.572915380341,0.0336682
2,1,98004,6000,0.47660786841445846,0.47521106785827344,4769.276909432523,0.0022057
2,2,98004,6000,0.4821279720895363,0.47521106785827344,5968.572915380341,0.0045264
2,3,98004,6000,0.4821279720895363,0.47521106785827344,5968.572915380341,0.0040287
2,1,98005,6000,0.47333264490044974,0.47521106785827344,4766.816974244875,0.0020837
2,2,98005,6000,0.4691494897267606,0.47521106785827344,5968.155572788743,0.0047697
2,3,98005,6000,0.4691494897267606,0.47521106785827344,5968.155572788743,0.0039444
2,0,98005,6000,0.4691494897267606,0.47521106785827344,5968.155572788743,0.0377478
2,2,98006,6000,0.48285390149753565,0.47521106785827344,5961.921716548715,0.0051626
2,3,98006,6000,0.48285390149753565,0.47521106785827344,5961.921716548715,0.0041529
2,0,98006,6000,0.48285390149753565,0.47521106785827344,5961.921716548715,0.0336424
2,1,98006,6000,0.48054002562421594,0.47521106785827344,4737.261897346282,0.0021014
2,3,98007,6000,0.48264432825516873,0.47521106785827344,5969.619180012788,0.004125
2,0,98007,6000,0.48264432825516873,0.47521106785827344,5969.619180012788,0.034404
2,1,98007,6000,0.47998230524773366,0.47521106785827344,4760.391417649417,0.00217
2,2,98007,6000,0.48264432825516873,0.47521106785827344,5969.619180012788,0.0045191
2,0,98008,6000,0.48380791030301673,0.47521106785827344,5963.455976384926,0.0374782
2,1,98008,6000,0.4896502233760661,0.47521106785827344,4784.743520030492,0.0022083
2,2,98008,6000,0.48380791030301673,0.47521106785827344,5963.455976384926,0.0048147
2,3,98008,6000,0.48380791030301673,0.47521106785827344,5963.455976384926,0.003887
2,1,98009,6000,0.4764150930743374,0.47521106785827344,4764.708210643213,0.0026817
2,2,98009,6000,0.47112712191182393,0.47521106785827344,5964.580311361222,0.004697
