fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
seam,103002,4,gvm-regression,27,completed,1200,4000,4000,-3.0457529752504175,-1.5620151533609319,0.03375,0.0385,0.4714,1.6874,0.7548
seam,103003,1,gvm-regression,6,completed,1200,4000,4000,-3.019916221351017,-1.523727987392553,0.0445,0.03775,0.4805,0.6793,0.7325
seam,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.019916221351017,-1.9908978664875145,0.01225,0.03775,0.5192,1.0007,0.7208
seam,103003,2,gvm-regression,13,completed,1200,4000,4000,-3.019916221351017,-1.5710961215515067,0.028,0.03775,0.3661,1.062,0.7046
seam,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.019916221351017,-1.8309259662087298,0.02575,0.03775,0.3882,1.3987,0.6272
seam,103003,4,gvm-regression,27,completed,1200,4000,4000,-3.019916221351017,-1.5906948881277487,0.04125,0.03775,0.4018,1.6027,0.7203
seam,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.019916221351017,-1.7693943970001291,0.04025,0.03775,0.7464,2.6099,0.7337
seam,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0429476344929123,-1.958856661942704,0.01075,0.03725,0.5794,0.7923,0.6659
seam,103004,1,gvm-regression,6,completed,1200,4000,4000,-3.0429476344929123,-1.4973069354226543,0.03725,0.03725,0.5364,0.6884,0.7316
seam,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0429476344929123,-1.7484220032955025,0.02425,0.03725,0.5003,2.3797,0.6043
seam,103004,2,gvm-regression,13,completed,1200,4000,4000,-3.0429476344929123,-1.5408583197966412,0.03325,0.03725,0.4344,0.9277,0.6669
seam,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0429476344929123,-1.7110390252024248,0.03925,0.03725,0.4713,3.6695,0.7662
seam,103004,4,gvm-regression,27,completed,1200,4000,4000,-3.0429476344929123,-1.5667781149598337,0.046,0.03725,0.6917,1.5353,0.6873
separated,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.01705453676543185,-2.6351207482738164,0.24775,0.36675,0.5388,0.9401,0.7189
separated,103000,1,gvm-regression,6,completed,1200,4000,4000,-0.01705453676543185,-2.6417487755623,0.238,0.36675,0.7904,0.6534,0.6564
separated,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.01705453676543185,-2.3840683692789484,0.36525,0.36675,0.4771,1.9651,0.5652
separated,103000,2,gvm-regression,13,completed,1200,4000,4000,-0.01705453676543185,-2.3861683148819925,0.36975,0.36675,0.4172,0.9942,0.6712
separated,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.01705453676543185,-2.430238080070265,0.35675,0.36675,0.4157,3.9117,0.8121
separated,103000,4,gvm-regression,27,completed,1200,4000,4000,-0.01705453676543185,-2.4304074341793043,0.359,0.36675,0.5622,1.7568,1.054
separated,103001,1,gvm-regression,6,completed,1200,4000,4000,-0.010178321684032274,-2.648417590098016,0.27025,0.37925,0.5402,0.6215,0.7354
separated,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.010178321684032274,-2.6444322029272844,0.26225,0.37925,0.5163,0.8081,0.5945
separated,103001,2,gvm-regression,13,completed,1200,4000,4000,-0.010178321684032274,-2.379266204682289,0.3775,0.37925,0.3016,0.9824,0.7346
separated,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.010178321684032274,-2.378088677753845,0.38325,0.37925,0.4564,1.6639,0.5973
