jvm,seed,model,method,draws,nanos,covered,precision,error
1,10,1,1,500,598400,true,true,0.01695286080233314
1,10,2,0,31200,7481800,true,true,0.019997314923989207
1,10,2,1,500,1588700,true,true,0.01664919275668958
1,10,3,0,31200,71659600,true,true,0.019997314923989262
1,10,3,1,500,2409500,true,true,0.01663593503772831
1,11,0,1,21600,51644600,true,true,0.019998663260863192
1,11,0,0,31200,3051500,true,true,0.019997314923989262
1,11,1,1,500,606700,true,true,0.01773502532090454
1,11,1,0,31200,2993300,true,true,0.019997314923989158
1,11,2,1,500,1435800,true,true,0.016648358188694812
1,11,2,0,31200,7117600,true,true,0.019997314923989207
1,11,3,1,500,2239600,true,true,0.016635927749212465
1,11,3,0,31200,71436300,true,true,0.019997314923989207
1,12,0,0,31200,3153700,true,true,0.019997314923989262
1,12,0,1,22100,59882500,true,true,0.01998938348429058
1,12,1,0,31200,2595400,true,true,0.019997314923989155
1,12,1,1,500,579700,true,true,0.0185078285816393
1,12,2,0,31200,7532100,true,true,0.019997314923989207
1,12,2,1,500,1265600,true,true,0.016649107098264393
1,12,3,0,31200,71860900,true,true,0.019997314923989262
1,12,3,1,500,2272300,true,true,0.01663593457578849
1,13,0,1,22000,53006400,true,true,0.019985706761631694
1,13,0,0,31200,3200800,true,true,0.019997314923989207
1,13,1,1,500,568200,true,true,0.01772511166069866
1,13,1,0,31200,2575900,true,true,0.019997314923989155
1,13,2,1,500,1212800,true,true,0.016649079798015887
1,13,2,0,31200,7009300,true,true,0.019997314923989207
1,13,3,1,500,2482800,true,true,0.016635935524640044
1,13,3,0,31200,79886900,true,true,0.019997314923989207
1,14,0,0,31200,3772700,true,true,0.019997314923989262
1,14,0,1,21900,50696800,true,true,0.019988312652659435
1,14,1,0,31200,2458000,true,true,0.019997314923989155
1,14,1,1,500,603600,true,true,0.01695286080233314
1,14,2,0,31200,7159000,true,true,0.019997314923989262
1,14,2,1,500,1315600,true,true,0.016648032931536216
1,14,3,0,31200,71778500,true,true,0.019997314923989207
1,14,3,1,500,2361700,true,true,0.01663591939829523
1,15,0,1,21900,60638200,true,true,0.019986984483568893
1,15,0,0,31200,3463600,true,true,0.019997314923989262
1,15,1,1,500,595600,true,true,0.017723932555921623
1,15,1,0,31200,2760600,true,true,0.019997314923989155
1,15,2,1,500,1213200,true,true,0.016649254108689504
1,15,2,0,31200,7050900,true,true,0.019997314923989207
1,15,3,1,500,2382700,true,true,0.016635928871943706
1,15,3,0,31200,71226900,true,true,0.019997314923989207
1,16,0,0,31200,3204700,true,true,0.019997314923989262
1,16,0,1,22100,52371300,true,true,0.019989572989013216
1,16,1,0,31200,2743700,true,true,0.019997314923989155
1,16,1,1,500,576200,true,true,0.017725322338889207
1,16,2,0,31200,7568100,true,true,0.019997314923989207
1,16,2,1,500,1393300,true,true,0.0166485158331402
1,16,3,0,31200,71461200,true,true,0.019997314923989207
1,16,3,1,500,2265700,true,true,0.01663593395089613
1,17,0,1,21900,62165000,true,true,0.01997269701510962
1,17,0,0,31200,3069000,true,true,0.019997314923989207
1,17,1,1,500,556300,true,true,0.01695286080233314
1,17,1,0,31200,2708700,true,true,0.019997314923989158
1,17,2,1,500,1683500,true,true,0.016647831527041412
1,17,2,0,31200,6931400,true,true,0.019997314923989207
1,17,3,1,500,2248700,true,true,0.016635919383919173
1,17,3,0,31200,71551500,true,true,0.019997314923989207
1,18,0,0,31200,3305000,true,true,0.019997314923989207
1,18,0,1,21800,53855000,true,true,0.019966001208691075
1,18,1,0,31200,2932700,true,true,0.019997314923989158
1,18,1,1,500,605100,true,true,0.017724703421527165
1,18,2,0,31200,15323900,true,true,0.019997314923989207
1,18,2,1,500,1439000,true,true,0.016648128931127992
1,18,3,0,31200,72044700,true,true,0.019997314923989207
1,18,3,1,500,2565700,true,true,0.016635914613054525
1,19,0,1,21600,51396600,true,true,0.019973071366707895
1,19,0,0,31200,3124400,true,true,0.019997314923989262
1,19,1,1,500,560500,true,true,0.01695286080233314
1,19,1,0,31200,2618000,true,true,0.019997314923989155
1,19,2,1,500,1342300,true,true,0.016647858403821603
1,19,2,0,31200,7424400,true,true,0.019997314923989207
1,19,3,1,500,2338600,true,true,0.016635916027498865
1,19,3,0,31200,71298500,true,true,0.019997314923989262
2,0,0,0,31200,31606600,true,true,0.019997314923989207
2,0,0,1,21900,237403500,true,true,0.019981617777748595
2,0,1,0,31200,15437400,true,true,0.019997314923989158
2,0,1,1,500,1839800,true,true,0.01695286080233314
