GVM_AUDIT_TIMING case=opposed method=audited round=5 batch=512 nsPerCall=76639.2578125
GVM_AUDIT_TIMING case=opposed method=full round=5 batch=128 nsPerCall=237723.4375
GVM_AUDIT_TIMING case=opposed method=full round=6 batch=128 nsPerCall=236592.96875
GVM_AUDIT_TIMING case=opposed method=audited round=6 batch=512 nsPerCall=78586.71875
GVM_AUDIT_CHECK case=curved identical=true evaluations=25098 error=7.69628805130651E-11
GVM_AUDIT_TIMING case=curved method=full round=0 batch=1 nsPerCall=2.57384E7
GVM_AUDIT_TIMING case=curved method=audited round=0 batch=8 nsPerCall=3957575.0
GVM_AUDIT_TIMING case=curved method=audited round=1 batch=8 nsPerCall=3895950.0
GVM_AUDIT_TIMING case=curved method=full round=1 batch=1 nsPerCall=2.67611E7
GVM_AUDIT_TIMING case=curved method=full round=2 batch=1 nsPerCall=2.71774E7
GVM_AUDIT_TIMING case=curved method=audited round=2 batch=8 nsPerCall=4750787.5
GVM_AUDIT_TIMING case=curved method=audited round=3 batch=8 nsPerCall=4283012.5
GVM_AUDIT_TIMING case=curved method=full round=3 batch=1 nsPerCall=2.53345E7
GVM_AUDIT_TIMING case=curved method=full round=4 batch=1 nsPerCall=2.51803E7
GVM_AUDIT_TIMING case=curved method=audited round=4 batch=8 nsPerCall=4535825.0
GVM_AUDIT_TIMING case=curved method=audited round=5 batch=8 nsPerCall=4336375.0
GVM_AUDIT_TIMING case=curved method=full round=5 batch=1 nsPerCall=2.62441E7
GVM_AUDIT_TIMING case=curved method=full round=6 batch=1 nsPerCall=2.65932E7
GVM_AUDIT_TIMING case=curved method=audited round=6 batch=8 nsPerCall=4217737.5
GVM_AUDIT_COMPLETE cases=3 methods=6 rounds=7 sinkFinite=true
