fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-separated,0,6,1,6,gvm-em,Converged,800,3000,-2.646187985491579,0.014683639816888644,0.24333333333333335,0.38266666666666665,5.004,0.6928,0.4776,216
gvm-separated,0,6,1,5,gmm-chart-em,Fitted,800,3000,-2.6422267693743327,0.014684851802009456,0.25566666666666665,0.38266666666666665,0.9604,0.7225,0.4918,0
gvm-separated,0,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.6462933219343907,0.014684851802009487,0.25533333333333336,0.38266666666666665,0.8464,1.0164,0.4811,0
gvm-separated,0,13,2,13,gvm-em,Converged,800,3000,-2.3660976420038415,0.018073587567813,0.36933333333333335,0.38266666666666665,47.246,1.044,0.5185,2662
gvm-separated,0,13,2,11,gmm-chart-em,Fitted,800,3000,-2.3666129637331097,0.01812612623607064,0.38433333333333336,0.38266666666666665,4.2699,1.2972,0.5438,0
gvm-separated,0,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.3666132826242396,0.018126126236070638,0.38433333333333336,0.38266666666666665,4.0525,1.9965,0.5235,0
gvm-separated,0,27,4,27,gvm-em,IterationLimit,800,3000,-2.3778983432687,0.018566371664304117,0.4066666666666667,0.38266666666666665,453.5999,1.429,0.5544,26657
gvm-separated,0,27,4,23,gmm-chart-em,Fitted,800,3000,-2.3843288494841097,0.018715561878634657,0.3903333333333333,0.38266666666666665,136.536,2.1582,0.588,0
gvm-separated,0,27,4,23,gmm-wrapped-em,Fitted,800,3000,-2.3843290449878096,0.01871556187863465,0.3903333333333333,0.38266666666666665,135.6458,3.5581,0.6505,0
gvm-separated,1,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.6409283946752122,0.01448993570454581,0.257,0.38166666666666665,0.992,1.0835,0.5912,0
gvm-separated,1,6,1,5,gmm-chart-em,Fitted,800,3000,-2.635561014497811,0.01448993570454584,0.25933333333333336,0.38166666666666665,0.9264,0.7399,0.5441,0
gvm-separated,1,6,1,6,gvm-em,Converged,800,3000,-2.6412810457804636,0.014518697686204366,0.23933333333333334,0.38166666666666665,6.337,0.9368,0.5322,216
gvm-separated,1,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.3981259225589233,0.017317840500488863,0.36533333333333334,0.38166666666666665,6.1498,1.9432,0.5636,0
gvm-separated,1,13,2,11,gmm-chart-em,Fitted,800,3000,-2.398124773675086,0.017317840500488867,0.36533333333333334,0.38166666666666665,6.2276,1.2111,0.5634,0
gvm-separated,1,13,2,13,gvm-em,Converged,800,3000,-2.399570110632256,0.017349720782659152,0.35533333333333333,0.38166666666666665,43.8676,0.931,0.5426,2436
gvm-separated,1,27,4,23,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.38166666666666665,164.399,,,0
gvm-separated,1,27,4,23,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.38166666666666665,162.8777,,,0
gvm-separated,1,27,4,27,gvm-em,IterationLimit,800,3000,-2.4031133900564674,0.017612172945478042,0.35433333333333333,0.38166666666666665,457.5216,1.4174,0.5432,26707
gvm-separated,2,6,1,6,gvm-em,Converged,800,3000,-2.65999413441252,0.015382299674618117,0.24966666666666668,0.3636666666666667,5.0096,0.6809,0.4775,216
