SV,mode,family,rng,seed,draws,parameter,mean,error,mcse,ess,maxWeight,covered95,withinPointOnePosteriorSd,seconds,underflows
SV,backends,dirichlet,PCG_RXS_M_XS_64,1009,200000,2,2.610453212326098,-0.029886066397754707,0.05222270876601708,16.495016876251306,0.12367892218571672,true,false,0.0690735,0
SV,backends,dirichlet,MT19937,1009,200000,0,0.83611681323555,-0.004899337487351052,0.01644537582004625,8.589546287637061,0.19675874498469156,true,true,0.0718338,0
SV,backends,dirichlet,MT19937,1009,200000,1,1.8575159155703238,-0.05343483966631113,0.04050803132696876,8.589546287637061,0.19675874498469156,true,false,0.0718338,0
SV,backends,dirichlet,MT19937,1009,200000,2,2.5946277370408475,-0.0457115416830054,0.05161529413151953,8.589546287637061,0.19675874498469156,true,false,0.0718338,0
SV,backends,dirichlet,Random,1009,200000,0,0.8674274822816028,0.02641133155870179,0.017335232707092425,8.883888152516109,0.22229249175256935,true,false,0.0675111,0
SV,backends,dirichlet,Random,1009,200000,1,1.9219230416871342,0.010972286450499302,0.03421928904350361,8.883888152516109,0.22229249175256935,true,true,0.0675111,0
SV,backends,dirichlet,Random,1009,200000,2,2.753933325408598,0.11359404668474493,0.04340038972280426,8.883888152516109,0.22229249175256935,false,false,0.0675111,0
SV,backends,gamma,L64X128MixRandom,8928,2000,0,1.958740151338507,-0.149129821831129,0.07216706015997999,4.499674178235183,0.400732790948582,false,false,3.536E-4,0
SV,backends,gamma,L64X128MixRandom,8928,2000,1,1.9805451996587669,0.13581585273431496,0.057589109421009185,4.499674178235183,0.400732790948582,false,false,3.536E-4,0
SV,backends,gamma,Xoshiro256PlusPlus,8928,2000,0,2.1629519142252907,0.05508194105565467,0.14054552151405253,5.138957685164541,0.2908980138497515,true,false,3.264E-4,0
SV,backends,gamma,Xoshiro256PlusPlus,8928,2000,1,1.8055966649004604,-0.03913268202399145,0.13084887591396263,5.138957685164541,0.2908980138497515,true,false,3.264E-4,0
SV,backends,gamma,PCG_RXS_M_XS_64,8928,2000,0,2.158769546736721,0.05089957356708519,0.05555696763149568,9.180665681503301,0.1877119193905766,true,false,3.076E-4,0
SV,backends,gamma,PCG_RXS_M_XS_64,8928,2000,1,1.8299691811086238,-0.014760165815828064,0.05725493526134028,9.180665681503301,0.1877119193905766,true,true,3.076E-4,0
SV,backends,gamma,MT19937,8928,2000,0,1.9930094449059483,-0.11486052826368764,0.0898525885415387,6.965736999492912,0.22760033116017916,true,false,4.018E-4,0
SV,backends,gamma,MT19937,8928,2000,1,2.0528905124704115,0.20816116554595965,0.07325685299858856,6.965736999492912,0.22760033116017916,false,false,4.018E-4,0
SV,backends,gamma,Random,8928,2000,0,2.030094147747062,-0.07777582542257377,0.0730384550843509,3.9352178179794297,0.40231371516760567,true,false,2.856E-4,0
SV,backends,gamma,Random,8928,2000,1,1.8838762821317168,0.039146935207264866,0.10592631329671486,3.9352178179794297,0.40231371516760567,true,false,2.856E-4,0
SV,backends,gamma,L64X128MixRandom,8928,20000,0,2.0756980591079226,-0.03217191406171338,0.025803801275164167,43.6272530158869,0.05099354458090456,true,false,0.0025828,0
SV,backends,gamma,L64X128MixRandom,8928,20000,1,1.8754643900120174,0.030735043087565472,0.026634531075099905,43.6272530158869,0.05099354458090456,true,false,0.0025828,0
SV,backends,gamma,Xoshiro256PlusPlus,8928,20000,0,2.1153119025932927,0.007441929423656735,0.024870201762071366,37.63722539759677,0.05404876387382059,true,true,0.0027929,0
SV,backends,gamma,Xoshiro256PlusPlus,8928,20000,1,1.8449083943433955,1.7904741894358978E-4,0.024254319060765965,37.63722539759677,0.05404876387382059,true,true,0.0027929,0
SV,backends,gamma,PCG_RXS_M_XS_64,8928,20000,0,2.123953988244769,0.016084015075132907,0.01818336268800786,57.8875647535672,0.03447439254112213,true,true,0.0028004,0
SV,backends,gamma,PCG_RXS_M_XS_64,8928,20000,1,1.830112148581958,-0.014617198342493865,0.01948549459243442,57.8875647535672,0.03447439254112213,true,true,0.0028004,0
SV,backends,gamma,MT19937,8928,20000,0,2.0943508168859957,-0.01351915628364031,0.023391555043674475,55.706418948432905,0.03992379423625443,true,true,0.0029185,0
SV,backends,gamma,MT19937,8928,20000,1,1.8545370404519845,0.009807693527532635,0.021969137358368966,55.706418948432905,0.03992379423625443,true,true,0.0029185,0
SV,backends,gamma,Random,8928,20000,0,2.1074727967969635,-3.9717637267244754E-4,0.028233025652784734,39.81524422269258,0.05082427986700755,true,true,0.0027076,0
SV,backends,gamma,Random,8928,20000,1,1.864757722145072,0.020028375220620065,0.027664030289156413,39.81524422269258,0.05082427986700755,true,false,0.0027076,0
SV,backends,gamma,L64X128MixRandom,8928,200000,0,2.0992653747320134,-0.008604598437622624,0.007332571691464788,426.79760550112405,0.005230926510693114,true,true,0.0253669,0
SV,backends,gamma,L64X128MixRandom,8928,200000,1,1.8523925587997647,0.007663211875312825,0.0074413333657939815,426.79760550112405,0.005230926510693114,true,true,0.0253669,0
SV,backends,gamma,Xoshiro256PlusPlus,8928,200000,0,2.1175277389372975,0.00965776576766153,0.006597479519929383,415.5226477397149,0.0047111838010296106,true,true,0.0277718,0
