"calibration","geometry","strategy","round","seed","method","query","truth","estimate","error","fullWidth","covered","criteriaMet","reason","drawsPerChain","productionSeconds","pilotSeconds","totalSeconds","rHat","meanEss","meanEssPerTotalSecond","acceptance","pilotStatus","covariance"
"calibration","narrow-2","joint-prior","0","97103","precision","x0","0.0","-0.013797745981448506","-0.013797745981448506","0.1500724320405031","true","false","MaxDrawsReached","12000","0.7078527","0.0","0.7078527","1.0127915165834327","317.7241902687377","448.8563655528017","0.15466666666666667","NotUsed",""
"calibration","narrow-2","joint-prior","0","97103","precision","x1","0.0","-0.010880126580028515","-0.010880126580028515","0.14987504648522862","true","false","MaxDrawsReached","12000","0.7078527","0.0","0.7078527","1.012507087364271","320.93946112007524","453.398653590041","0.15466666666666667","NotUsed",""
"calibration","narrow-2","manual","0","97103","fixed","square0","1.0","0.982897352163975","-0.017102647836024998","0.0776190192959782","true","true","FixedBudget","12000","0.2780599","0.0","0.2780599","1.0004145449331259","7024.596128565621","25262.88806320372","0.5505833333333333","NotUsed",""
"calibration","narrow-2","manual","0","97103","fixed","square1","1.0","0.9829585545057404","-0.017041445494259566","0.07784688888078362","true","true","FixedBudget","12000","0.2780599","0.0","0.2780599","1.000493084069203","7063.389381495472","25402.402077737464","0.5505833333333333","NotUsed",""
"calibration","narrow-2","manual","0","97103","fixed","x0","0.0","-0.01128017348419652","-0.01128017348419652","0.06847095915421136","true","true","FixedBudget","12000","0.2780599","0.0","0.2780599","1.0004036656153428","5153.500431040705","18533.77790555454","0.5505833333333333","NotUsed",""
"calibration","narrow-2","manual","0","97103","fixed","x1","0.0","-0.018087578068094023","-0.018087578068094023","0.0684435408284458","true","true","FixedBudget","12000","0.2780599","0.0","0.2780599","1.0004746815513632","5129.120865709919","18446.100519024563","0.5505833333333333","NotUsed",""
"calibration","narrow-2","manual","0","97103","precision","square0","1.0","0.9506074834318456","-0.049392516568154354","0.14326322096542252","true","true","PrecisionReached","4000","0.1116836","0.0","0.1116836","1.0006590588064268","2279.799061267715","20413.015530191675","0.5514375","NotUsed",""
"calibration","narrow-2","manual","0","97103","precision","square1","1.0","0.9471559616318976","-0.052844038368102364","0.14292512672845065","true","true","PrecisionReached","4000","0.1116836","0.0","0.1116836","1.0004021756489385","2333.5055981566047","20893.896670205875","0.5514375","NotUsed",""
"calibration","narrow-2","manual","0","97103","precision","x0","0.0","-0.032419327749727556","-0.032419327749727556","0.1162901536963341","true","true","PrecisionReached","4000","0.1116836","0.0","0.1116836","1.0031135215333102","1761.2656345131625","15770.136658499212","0.5514375","NotUsed",""
"calibration","narrow-2","manual","0","97103","precision","x1","0.0","-0.035257222119947196","-0.035257222119947196","0.11430341387832348","true","true","PrecisionReached","4000","0.1116836","0.0","0.1116836","1.0034445567419457","1772.841275994527","15873.783402348483","0.5514375","NotUsed",""
"calibration","narrow-2","calibrated","0","97103","fixed","","","","","","false","false","PilotRejected","0","0","0.1389786","0.1389786","","","","","requirement failed: Pilot diagnostics rejected 'x0': R-hat=Some(1.0066505553622658), bulk/tail/mean ESS=Vector(Some(526.9677065872893), Some(287.9440210722017), Some(550.3252542223472)); improve pilot exploration or budget",""
"calibration","narrow-2","calibrated","0","97103","precision","","","","","","false","false","PilotRejected","0","0","0.1389786","0.1389786","","","","","requirement failed: Pilot diagnostics rejected 'x0': R-hat=Some(1.0066505553622658), bulk/tail/mean ESS=Vector(Some(526.9677065872893), Some(287.9440210722017), Some(550.3252542223472)); improve pilot exploration or budget",""
"calibration","scaled-2","default","0","97103","fixed","square0","4.0E-4","3.6760943513078944E-4","-3.2390564869210577E-5","7.44424652736531E-5","true","false","FixedBudget","12000","0.2297212","0.0","0.2297212","1.006715549655891","453.37995869932706","1973.6095697712144","0.3845","NotUsed",""
"calibration","scaled-2","default","0","97103","fixed","square1","400.0","367.8062179385083","-32.193782061491675","74.7696867181865","true","false","FixedBudget","12000","0.2297212","0.0","0.2297212","1.0062487563247553","493.4505476344817","2148.040962847494","0.3845","NotUsed",""
"calibration","scaled-2","default","0","97103","fixed","x0","0.0","2.5132999605881334E-4","2.5132999605881334E-4","0.003261971758900258","true","false","FixedBudget","12000","0.2297212","0.0","0.2297212","1.0084260469685329","471.6480325993201","2053.132373500226","0.3845","NotUsed",""
"calibration","scaled-2","default","0","97103","fixed","x1","0.0","0.2660333700437292","0.2660333700437292","3.2646083187073422","true","false","FixedBudget","12000","0.2297212","0.0","0.2297212","1.0095705929283392","458.2944462630378","1995.0028393680593","0.3845","NotUsed",""
"calibration","scaled-2","default","0","97103","precision","square0","4.0E-4","3.6760943513078944E-4","-3.2390564869210577E-5","7.44424652736531E-5","true","false","MaxDrawsReached","12000","0.7242671","0.0","0.7242671","1.006715549655891","453.37995869932706","625.9844727163874","0.3845","NotUsed",""
"calibration","scaled-2","default","0","97103","precision","square1","400.0","367.8062179385083","-32.193782061491675","74.7696867181865","true","false","MaxDrawsReached","12000","0.7242671","0.0","0.7242671","1.0062487563247553","493.4505476344817","681.310179123809","0.3845","NotUsed",""
"calibration","scaled-2","default","0","97103","precision","x0","0.0","2.5132999605881334E-4","2.5132999605881334E-4","0.003261971758900258","true","false","MaxDrawsReached","12000","0.7242671","0.0","0.7242671","1.0084260469685329","471.6480325993201","651.2073137097075","0.3845","NotUsed",""
"calibration","scaled-2","default","0","97103","precision","x1","0.0","0.2660333700437292","0.2660333700437292","3.2646083187073422","true","false","MaxDrawsReached","12000","0.7242671","0.0","0.7242671","1.0095705929283392","458.2944462630378","632.7699356536252","0.3845","NotUsed",""
"calibration","scaled-2","joint-prior","0","97103","fixed","square0","4.0E-4","3.794034903342998E-4","-2.0596509665700218E-5","4.911206500854058E-5","true","true","FixedBudget","12000","0.254882","0.0","0.254882","1.0003163308382923","2364.037454680814","9275.027089715295","0.34729166666666667","NotUsed",""
