case,method,seed,draws,mean,reference,ess,mcse,seconds
hierarchical,prior,260316240,4000,0.9739044953358437,0.9803921568627451,355.5994164356244,0.006576722045557961,0.0077194
hierarchical,root,260316240,4000,0.9804100946204304,0.9803921568627451,2024.8733599621003,0.0032608567407990474,0.0086351
hierarchical,joint,260316240,4000,0.9795660390563911,0.9803921568627451,3125.6823507231015,0.0020492590302382705,0.027310800000000003
nonlinear,prior,260316240,4000,0.46383517168218774,0.5,363.12877160597895,0.026075815156526922,0.0079025
nonlinear,root,260316240,4000,0.5146855290610495,0.5,1636.8857431890954,0.012358479300668008,0.0099801
nonlinear,joint,260316240,4000,0.49489192175171653,0.5,2464.638338241568,0.010070908263721964,0.031126900000000002
rare-event,prior,260316240,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0029029000000000004
rare-event,root,260316240,4000,3.925769625291349E-5,3.167124183311997E-5,831.3434488805743,4.653646166710657E-6,0.0047875
rare-event,joint,260316240,4000,3.012874482140112E-5,3.167124183311997E-5,447.3047520029189,1.8572439349950038E-6,0.004665600000000001
hierarchical,prior,275802103,4000,0.9814085882112247,0.9803921568627451,325.04538748497004,0.0070080342872886866,0.007317700000000001
hierarchical,root,275802103,4000,0.9775146198443154,0.9803921568627451,2015.7144187483505,0.0033301122053293686,0.009744000000000001
hierarchical,joint,275802103,4000,0.982293182135053,0.9803921568627451,3106.52519013541,0.0020109664863844604,0.027158500000000002
nonlinear,prior,275802103,4000,0.46523562219198267,0.5,347.8909835599329,0.026716135049543933,0.0076366
nonlinear,root,275802103,4000,0.5117802465807237,0.5,1632.3436909423408,0.012376400113747675,0.0102459
nonlinear,joint,275802103,4000,0.5001382204554686,0.5,2466.073232078426,0.010068546478332776,0.031576900000000005
rare-event,prior,275802103,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0031531000000000003
rare-event,root,275802103,4000,3.560458507552242E-5,3.167124183311997E-5,841.0023397153307,4.253617283608504E-6,0.0051509
rare-event,joint,275802103,4000,3.2364391232524686E-5,3.167124183311997E-5,452.52426559876784,1.9699535519329987E-6,0.0049481
hierarchical,prior,291287966,4000,0.9740453355909232,0.9803921568627451,354.2487264365134,0.006582833907956004,0.007527000000000001
hierarchical,root,291287966,4000,0.982676376076535,0.9803921568627451,2025.1190816938986,0.0034383252395904307,0.008748200000000001
hierarchical,joint,291287966,4000,0.9820791891101235,0.9803921568627451,3127.326722420003,0.002019578906244298,0.0275584
nonlinear,prior,291287966,4000,0.48939380274984595,0.5,361.9616461919303,0.026278548126480634,0.0080029
nonlinear,root,291287966,4000,0.4786405505639158,0.5,1666.568198387228,0.012234168963183361,0.0103499
nonlinear,joint,291287966,4000,0.4784165479993944,0.5,2432.563494377308,0.01012716696080241,0.0315813
rare-event,prior,291287966,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0038473
rare-event,root,291287966,4000,3.324325681802364E-5,3.167124183311997E-5,852.8216410073272,4.0834908119015494E-6,0.0088778
rare-event,joint,291287966,4000,3.355842292744266E-5,3.167124183311997E-5,441.4477039152393,2.0555810468686174E-6,0.004836200000000001
hierarchical,prior,306773829,4000,0.9814623224196947,0.9803921568627451,302.2158235258909,0.006839561830158931,0.0075011
hierarchical,root,306773829,4000,0.9784416559484259,0.9803921568627451,1925.4509759108232,0.004197368948935972,0.008853100000000001
hierarchical,joint,306773829,4000,0.9785110195150936,0.9803921568627451,3137.1726525465833,0.002015148782380554,0.0275648
nonlinear,prior,306773829,4000,0.4730112249571176,0.5,327.81415560788804,0.027585379723717333,0.007955
nonlinear,root,306773829,4000,0.5012081876659169,0.5,1642.3502308401496,0.012337481790682342,0.0100958
nonlinear,joint,306773829,4000,0.5211659756536943,0.5,2451.8318874993306,0.010087239331081934,0.0286392
rare-event,prior,306773829,4000,2.5E-4,3.167124183311997E-5,3999.9999999997935,2.4996874804662095E-4,0.0029851
rare-event,root,306773829,4000,4.042411766106079E-5,3.167124183311997E-5,837.3067618101019,4.6767766369551146E-6,0.0048713
rare-event,joint,306773829,4000,3.139328494119134E-5,3.167124183311997E-5,448.8398488529158,1.9211641322268014E-6,0.0048706
hierarchical,prior,322259692,4000,0.9649016886388854,0.9803921568627451,334.6001151788954,0.006669582397213617,0.009017
hierarchical,root,322259692,4000,0.979339946219665,0.9803921568627451,2009.2798595179343,0.00342503769721042,0.008733300000000001
hierarchical,joint,322259692,4000,0.9800733892741434,0.9803921568627451,3127.048081637563,0.00202014960015805,0.0282453
nonlinear,prior,322259692,4000,0.48778129056750386,0.5,355.604679690996,0.0265099880474731,0.0078706
nonlinear,root,322259692,4000,0.5014343957061326,0.5,1622.7325679191183,0.012411669370350207,0.0101694
