jvm,seed,model,draws,method,mean,truth,ess,nanos,heap_delta
0,9,1,2000,0,0.9870182888580882,0.9900990099009901,165.0162922346773,6530200,16777216
0,9,1,20000,3,0.9896297781455412,0.9900990099009901,1725.7054386843797,6208500,16777216
0,9,1,20000,2,0.9896297781455412,0.9900990099009901,1725.7054386843797,5982100,16777216
0,9,1,20000,1,0.9896297781455412,0.9900990099009901,1725.7054386843797,6258700,12582912
0,9,1,20000,0,0.9930608106770904,0.9900990099009901,1756.2698087441545,50355800,146800640
0,9,2,2000,3,0.4933511890101795,0.49679988368583794,1456.2280785902194,1757300,12582912
0,9,2,2000,2,0.4933511890101795,0.49679988368583794,1456.2280785902194,1471200,4194304
0,9,2,2000,1,0.4933511890101795,0.49679988368583794,1456.2280785902194,1713200,0
0,9,2,2000,0,0.46829001876902304,0.49679988368583794,1470.030525419808,26719200,92274688
0,9,2,20000,3,0.5009357286686913,0.49679988368583794,14720.63090450909,7202300,16777216
0,9,2,20000,2,0.5009357286686913,0.49679988368583794,14720.63090450909,11140300,16777216
0,9,2,20000,1,0.5009357286686913,0.49679988368583794,14720.63090450909,11377000,12582912
0,9,2,20000,0,0.5032952586641103,0.49679988368583794,14726.313212677622,215201700,-185104736
0,10,0,2000,0,0.5007992623860249,0.5,1485.4648951130741,6702600,16777216
0,10,0,2000,1,0.4994430683276377,0.5,1480.5192759189429,881000,0
0,10,0,2000,2,0.4994430683276377,0.5,1480.5192759189429,1482600,8388608
0,10,0,2000,3,0.4994430683276377,0.5,1480.5192759189429,1321800,8388608
0,10,0,20000,0,0.5015983910154024,0.5,14713.157321505752,52885100,146800640
0,10,0,20000,1,0.5060987438988941,0.5,14708.65215891491,4901100,12582912
0,10,0,20000,2,0.5060987438988941,0.5,14708.65215891491,5044200,16777216
0,10,0,20000,3,0.5060987438988941,0.5,14708.65215891491,5026900,16777216
0,10,1,2000,0,0.9903013371860944,0.9900990099009901,178.1478006481154,5081900,16777216
0,10,1,2000,1,0.983324457521388,0.9900990099009901,173.49889377050863,1406000,0
0,10,1,2000,2,0.983324457521388,0.9900990099009901,173.49889377050863,1280800,4194304
0,10,1,2000,3,0.983324457521388,0.9900990099009901,173.49889377050863,1129100,8388608
0,10,1,20000,0,0.9889319804968447,0.9900990099009901,1698.9101710058749,42769600,146800640
0,10,1,20000,1,0.9869138914406043,0.9900990099009901,1715.5296883813403,6080500,12582912
0,10,1,20000,2,0.9869138914406043,0.9900990099009901,1715.5296883813403,4978100,16777216
0,10,1,20000,3,0.9869138914406043,0.9900990099009901,1715.5296883813403,5430400,16777216
0,10,2,2000,0,0.4976693636246198,0.49679988368583794,1491.02319248563,25185800,92274688
0,10,2,2000,1,0.4963178740451135,0.49679988368583794,1486.1854228918153,1400000,0
0,10,2,2000,2,0.4963178740451135,0.49679988368583794,1486.1854228918153,1483600,4194304
0,10,2,2000,3,0.4963178740451135,0.49679988368583794,1486.1854228918153,1259400,12582912
0,10,2,20000,0,0.49844035910298656,0.49679988368583794,14769.570363451694,230408400,-155664752
0,10,2,20000,1,0.5029245784116216,0.49679988368583794,14765.250292316347,11360400,8388608
0,10,2,20000,2,0.5029245784116216,0.49679988368583794,14765.250292316347,10269500,16777216
0,10,2,20000,3,0.5029245784116216,0.49679988368583794,14765.250292316347,7967000,20971520
0,11,0,2000,3,0.4802872206547506,0.5,1472.2510276388978,1311600,8388608
0,11,0,2000,2,0.4802872206547506,0.5,1472.2510276388978,975700,4194304
0,11,0,2000,1,0.4802872206547506,0.5,1472.2510276388978,734300,0
0,11,0,2000,0,0.48571743857490307,0.5,1486.8150667336088,6060300,16777216
0,11,0,20000,3,0.49348654764743377,0.5,14695.654520391327,6082200,16777216
0,11,0,20000,2,0.49348654764743377,0.5,14695.654520391327,4832100,16777216
0,11,0,20000,1,0.49348654764743377,0.5,14695.654520391327,6329800,12582912
0,11,0,20000,0,0.4991409885849892,0.5,14657.410574216754,42710200,150994944
0,11,1,2000,3,0.9896978626179812,0.9900990099009901,161.9523453112033,1481200,4194304
0,11,1,2000,2,0.9896978626179812,0.9900990099009901,161.9523453112033,1113100,8388608
0,11,1,2000,1,0.9896978626179812,0.9900990099009901,161.9523453112033,898600,0
0,11,1,2000,0,0.98521946041328,0.9900990099009901,163.65431591845342,5631300,16777216
0,11,1,20000,3,0.9890581506676452,0.9900990099009901,1716.755419726194,4755600,16777216
0,11,1,20000,2,0.9890581506676452,0.9900990099009901,1716.755419726194,6391000,12582912
0,11,1,20000,1,0.9890581506676452,0.9900990099009901,1716.755419726194,4882900,12582912
0,11,1,20000,0,0.9916156579252929,0.9900990099009901,1702.7414351630086,48503300,-905568760
0,11,2,2000,3,0.4770859413652119,0.49679988368583794,1478.05167745982,1667500,8388608
0,11,2,2000,2,0.4770859413652119,0.49679988368583794,1478.05167745982,1539300,4194304
0,11,2,2000,1,0.4770859413652119,0.49679988368583794,1478.05167745982,1750600,4194304
0,11,2,2000,0,0.4825757940853951,0.49679988368583794,1492.5265456329385,22711400,88080384
0,11,2,20000,3,0.49029136610380014,0.49679988368583794,14753.392242282232,6953400,20971520
0,11,2,20000,2,0.49029136610380014,0.49679988368583794,14753.392242282232,9673900,16777216
0,11,2,20000,1,0.49029136610380014,0.49679988368583794,14753.392242282232,11038200,8388608
0,11,2,20000,0,0.4959374893580772,0.49679988368583794,14714.51006567145,209414500,872415232
0,12,0,2000,0,0.49813511759031,0.5,1473.1831924065214,6769900,-1041174888
0,12,0,2000,1,0.5070317430908161,0.5,1462.0012251437984,833600,0
0,12,0,2000,2,0.5070317430908161,0.5,1462.0012251437984,1106900,8388608
0,12,0,2000,3,0.5070317430908161,0.5,1462.0012251437984,1014500,4194304
0,12,0,20000,0,0.5013499236854322,0.5,14679.762328490242,45486300,150994944
0,12,0,20000,1,0.4929490854930922,0.5,14631.074696413418,4717500,12582912
0,12,0,20000,2,0.4929490854930922,0.5,14631.074696413418,6067500,16777216
0,12,0,20000,3,0.4929490854930922,0.5,14631.074696413418,4831500,16777216
0,12,1,2000,0,0.9803572359758193,0.9900990099009901,164.9775890906964,4741400,16777216
0,12,1,2000,1,0.9914501706643377,0.9900990099009901,171.73020929036912,858900,0
0,12,1,2000,2,0.9914501706643377,0.9900990099009901,171.73020929036912,1365200,4194304
0,12,1,2000,3,0.9914501706643377,0.9900990099009901,171.73020929036912,1243700,8388608
0,12,1,20000,0,0.9879316226287981,0.9900990099009901,1744.3407072054451,41393500,150994944
0,12,1,20000,1,0.9905025714567005,0.9900990099009901,1682.5478160293187,4927200,12582912
0,12,1,20000,2,0.9905025714567005,0.9900990099009901,1682.5478160293187,5548000,16777216
0,12,1,20000,3,0.9905025714567005,0.9900990099009901,1682.5478160293187,6166600,16777216
0,12,2,2000,0,0.4950223052971806,0.49679988368583794,1478.8408760031086,21279200,92274688
0,12,2,2000,1,0.5038424052121633,0.49679988368583794,1467.7343670952107,1562000,0
