jvm,case,method,draws,seed,status,mean,ess,rhat,attempts,pilotTransitions,visits,pilotSeconds,fitSeconds,totalSeconds,reference
1,hierarchical,mixture,8000,224316222,Fitted,0.9795369859926217,3924.674406489419,1.1667500117224348,8000,3000,72000,0.0051047,0.0150957,0.0416093,0.9803921568627451
1,hierarchical,mh,8000,224316222,Completed,0.9823360666619072,NaN,1.0489191028686329,8000,1000,0,0.0,0.0,0.0155761,0.9803921568627451
1,hierarchical,legacy,8000,224316222,Completed,0.9689033271265732,NaN,NaN,8000,0,0,0.0,0.0,0.013082300000000002,0.9803921568627451
1,hierarchical,prior,8000,224316222,Completed,0.9689033271265012,725.4919902949811,NaN,8000,0,72000,0.0,0.0,0.0169503,0.9803921568627451
1,hierarchical,single,8000,224316222,Fitted,0.9809719602681166,3910.2715566190277,1.2738143350696007,8000,3000,64000,0.0059592000000000004,1.506E-4,0.023779300000000003,0.9803921568627451
1,mixture,mixture,2000,224316222,Fitted,0.6301530222191777,1903.4948169077113,1.0023981148331202,2000,3000,12000,0.0056684000000000005,0.003989100000000001,0.014599,0.631578947368421
1,mixture,mh,2000,224316222,Completed,0.659,NaN,1.0042979001993826,2000,1000,0,0.0,0.0,0.0055509,0.631578947368421
1,mixture,legacy,2000,224316222,Completed,0.6359832635983171,NaN,NaN,2000,0,0,0.0,0.0,0.0018627000000000001,0.631578947368421
1,mixture,prior,2000,224316222,Completed,0.6359832635983211,1315.015827338112,NaN,2000,0,14000,0.0,0.0,0.003975,0.631578947368421
1,mixture,single,2000,224316222,Fitted,0.6347017604802757,364.1909067621374,1.005069503416393,2000,3000,12000,0.0057039000000000005,1.617E-4,0.0102866,0.631578947368421
1,mixture,mixture,8000,224316222,Fitted,0.6258667190101022,7613.809052405625,1.0023981148331202,8000,3000,48000,0.0058187000000000004,0.0045011,0.028522500000000003,0.631578947368421
1,mixture,mh,8000,224316222,Completed,0.633,NaN,1.0002689035460985,8000,1000,0,0.0,0.0,0.0162751,0.631578947368421
